iter	Passed	Remaining
0	3	3705
1	5	2959
2	8	2664
3	10	2511
4	12	2407
5	14	2343
6	16	2304
7	18	2270
8	20	2267
9	22	2255
10	25	2258
11	28	2316
12	30	2321
13	32	2318
14	35	2315
15	37	2316
16	40	2330
17	42	2330
18	44	2323
19	48	2394
20	51	2391
21	53	2378
22	55	2368
23	57	2356
24	60	2345
25	62	2334
26	64	2320
27	66	2309
28	68	2300
29	70	2294
30	73	2287
31	75	2276
32	77	2272
33	79	2270
34	81	2259
35	84	2251
36	86	2240
37	88	2230
38	90	2218
39	92	2214
40	94	2204
41	96	2193
42	98	2181
43	99	2172
44	101	2159
45	103	2148
46	105	2138
47	107	2130
48	109	2120
49	111	2112
50	112	2102
51	114	2091
52	116	2083
53	118	2073
54	120	2064
55	121	2056
56	123	2047
57	125	2038
58	127	2030
59	129	2027
60	131	2023
61	133	2019
62	135	2015
63	137	2012
64	139	2009
65	141	2006
66	143	2002
67	145	2000
68	147	1995
69	149	1992
70	151	1988
71	153	1984
72	155	1980
73	157	1976
74	159	1973
75	161	1969
76	163	1965
77	165	1961
78	167	1957
79	169	1954
80	172	1952
81	174	1948
82	176	1946
83	178	1946
84	180	1945
85	182	1942
86	184	1937
87	186	1934
88	188	1931
89	190	1927
90	192	1923
91	194	1920
92	196	1916
93	198	1913
94	200	1910
95	202	1908
96	204	1904
97	206	1901
98	208	1898
99	210	1894
100	212	1891
101	214	1888
102	216	1885
103	218	1881
104	220	1878
105	222	1877
106	224	1876
107	226	1873
108	228	1871
109	230	1868
110	233	1866
111	235	1863
112	236	1859
113	239	1858
114	241	1856
115	243	1855
116	245	1855
117	248	1854
118	250	1853
119	252	1850
120	254	1847
121	256	1844
122	258	1839
123	259	1836
124	261	1832
125	263	1828
126	266	1828
127	267	1824
128	269	1821
129	271	1817
130	273	1814
131	275	1810
132	277	1807
133	279	1803
134	281	1801
135	283	1798
136	285	1795
137	286	1792
138	289	1790
139	291	1788
140	293	1786
141	295	1785
142	297	1782
143	299	1779
144	301	1776
145	303	1772
146	304	1769
147	306	1765
148	308	1762
149	310	1759
150	312	1758
151	314	1755
152	316	1753
153	318	1751
154	320	1749
155	322	1747
156	324	1744
157	327	1742
158	329	1741
159	331	1739
160	333	1737
161	335	1735
162	337	1733
163	339	1730
164	341	1726
165	343	1724
166	345	1721
167	347	1719
168	348	1715
169	350	1712
170	352	1709
171	354	1706
172	356	1704
173	358	1701
174	360	1697
175	361	1694
176	363	1691
177	365	1688
178	367	1686
179	369	1682
180	371	1680
181	373	1677
182	375	1674
183	376	1671
184	378	1668
185	380	1665
186	382	1662
187	384	1659
188	386	1656
189	388	1654
190	389	1651
191	391	1648
192	393	1646
193	395	1643
194	397	1640
195	399	1638
196	401	1635
197	403	1632
198	404	1629
199	406	1626
200	408	1624
201	410	1621
202	412	1618
203	414	1616
204	416	1614
205	418	1612
206	420	1610
207	422	1608
208	424	1606
209	426	1605
210	428	1603
211	430	1601
212	432	1599
213	434	1596
214	436	1594
215	438	1591
216	440	1589
217	442	1587
218	444	1586
219	446	1583
220	448	1581
221	450	1578
222	452	1575
223	454	1573
224	456	1570
225	457	1568
226	459	1565
227	461	1563
228	463	1560
229	465	1558
230	467	1555
231	469	1552
232	471	1550
233	473	1548
234	475	1548
235	477	1545
236	479	1543
237	481	1540
238	483	1538
239	484	1535
240	486	1533
241	488	1530
242	490	1527
243	492	1525
244	494	1522
245	496	1520
246	498	1518
247	499	1515
248	501	1513
249	503	1510
250	505	1508
251	507	1505
252	509	1503
253	511	1501
254	513	1500
255	517	1502
256	519	1502
257	522	1501
258	524	1500
259	526	1498
260	528	1495
261	530	1493
262	532	1490
263	533	1488
264	536	1486
265	538	1485
266	540	1483
267	542	1481
268	545	1481
269	548	1481
270	551	1482
271	553	1480
272	554	1477
273	556	1474
274	558	1472
275	560	1469
276	562	1467
277	564	1464
278	565	1462
279	567	1460
280	569	1457
281	571	1455
282	573	1453
283	575	1450
284	577	1448
285	579	1446
286	581	1443
287	582	1441
288	584	1438
289	586	1436
290	588	1434
291	590	1432
292	592	1429
293	594	1427
294	596	1425
295	598	1423
296	600	1420
297	602	1418
298	603	1416
299	605	1413
300	608	1412
301	610	1411
302	613	1410
303	615	1409
304	617	1407
305	619	1405
306	622	1404
307	624	1403
308	626	1401
309	628	1399
310	630	1397
311	632	1395
312	634	1392
313	636	1390
314	638	1388
315	640	1385
316	642	1383
317	645	1384
318	647	1383
319	650	1382
320	652	1381
321	655	1379
322	657	1377
323	659	1375
324	661	1374
325	663	1372
326	665	1370
327	667	1368
328	670	1366
329	672	1364
330	674	1362
331	679	1366
332	681	1364
333	683	1361
334	685	1360
335	687	1358
336	689	1355
337	691	1353
338	693	1351
339	695	1349
340	697	1347
341	699	1345
342	701	1343
343	703	1342
344	705	1340
345	707	1338
346	710	1336
347	712	1335
348	714	1333
349	716	1330
350	718	1328
351	720	1326
352	722	1324
353	724	1321
354	726	1319
355	728	1317
356	730	1315
357	732	1313
358	734	1310
359	735	1308
360	737	1305
361	739	1302
362	740	1300
363	742	1298
364	744	1295
365	746	1293
366	748	1291
367	750	1289
368	752	1287
369	754	1285
370	756	1282
371	758	1280
372	760	1278
373	762	1275
374	764	1273
375	765	1271
376	767	1268
377	769	1266
378	771	1263
379	773	1261
380	775	1259
381	776	1256
382	778	1254
383	780	1252
384	782	1249
385	784	1247
386	786	1245
387	788	1243
388	790	1241
389	792	1239
390	794	1237
391	796	1234
392	798	1232
393	800	1231
394	802	1229
395	804	1227
396	806	1225
397	809	1224
398	812	1223
399	814	1221
400	816	1219
401	818	1217
402	820	1215
403	822	1213
404	824	1211
405	826	1209
406	828	1207
407	830	1204
408	832	1202
409	834	1200
410	836	1199
411	838	1197
412	840	1195
413	842	1192
414	844	1190
415	846	1188
416	848	1186
417	850	1184
418	852	1182
419	854	1180
420	856	1178
421	858	1176
422	860	1174
423	863	1173
424	866	1172
425	868	1170
426	870	1168
427	872	1166
428	874	1163
429	876	1161
430	878	1159
431	880	1157
432	882	1155
433	884	1153
434	886	1151
435	888	1148
436	890	1146
437	891	1143
438	893	1141
439	895	1139
440	897	1137
441	899	1135
442	901	1133
443	903	1131
444	905	1129
445	907	1127
446	909	1125
447	911	1123
448	913	1121
449	915	1119
450	917	1117
451	919	1115
452	921	1113
453	923	1110
454	925	1108
455	927	1106
456	929	1104
457	931	1102
458	933	1100
459	935	1098
460	937	1095
461	939	1093
462	941	1091
463	943	1089
464	945	1087
465	947	1085
466	949	1083
467	951	1081
468	953	1079
469	954	1076
470	956	1074
471	958	1072
472	960	1070
473	962	1068
474	964	1065
475	966	1063
476	968	1061
477	970	1059
478	972	1057
479	974	1055
480	976	1053
481	978	1051
482	980	1049
483	982	1047
484	984	1045
485	986	1043
486	988	1041
487	990	1039
488	993	1037
489	995	1035
490	997	1034
491	999	1032
492	1001	1030
493	1003	1028
494	1005	1026
495	1007	1024
496	1009	1022
497	1011	1020
498	1014	1018
499	1016	1016
500	1018	1014
501	1020	1012
502	1023	1011
503	1025	1009
504	1027	1007
505	1029	1005
506	1031	1003
507	1033	1001
508	1035	999
509	1037	997
510	1039	995
511	1041	993
512	1043	990
513	1046	989
514	1047	986
515	1049	984
516	1051	982
517	1053	980
518	1055	978
519	1057	976
520	1059	974
521	1061	972
522	1063	970
523	1065	968
524	1067	966
525	1069	963
526	1071	961
527	1073	959
528	1075	957
529	1077	955
530	1079	953
531	1081	951
532	1083	949
533	1085	947
534	1087	945
535	1089	943
536	1091	941
537	1093	939
538	1095	937
539	1098	935
540	1100	933
541	1102	931
542	1104	929
543	1106	927
544	1108	925
545	1110	923
546	1112	921
547	1114	919
548	1116	916
549	1118	914
550	1120	912
551	1122	910
552	1125	909
553	1127	907
554	1129	905
555	1131	903
556	1133	901
557	1135	899
558	1137	897
559	1139	895
560	1141	893
561	1144	891
562	1146	889
563	1148	887
564	1149	885
565	1151	883
566	1153	881
567	1155	879
568	1157	876
569	1159	874
570	1161	872
571	1163	870
572	1166	868
573	1168	866
574	1170	864
575	1172	862
576	1174	860
577	1176	859
578	1178	857
579	1180	854
580	1182	852
581	1184	850
582	1186	848
583	1188	846
584	1190	844
585	1192	842
586	1194	840
587	1196	838
588	1198	836
589	1200	834
590	1202	832
591	1204	830
592	1206	828
593	1208	826
594	1210	823
595	1212	821
596	1214	819
597	1216	818
598	1218	816
599	1221	814
600	1223	811
601	1225	810
602	1228	808
603	1230	806
604	1232	804
605	1234	802
606	1235	800
607	1237	798
608	1239	796
609	1241	793
610	1243	791
611	1245	789
612	1247	787
613	1249	785
614	1251	783
615	1253	781
616	1255	779
617	1258	777
618	1260	775
619	1262	773
620	1264	771
621	1266	769
622	1268	767
623	1270	765
624	1272	763
625	1274	761
626	1276	759
627	1278	757
628	1280	755
629	1282	753
630	1284	751
631	1286	749
632	1288	747
633	1290	745
634	1292	743
635	1294	741
636	1296	739
637	1298	736
638	1300	734
639	1303	732
640	1305	731
641	1307	728
642	1309	726
643	1311	725
644	1313	722
645	1315	720
646	1317	718
647	1319	716
648	1321	714
649	1323	712
650	1325	710
651	1327	708
652	1329	706
653	1331	704
654	1333	702
655	1335	700
656	1337	698
657	1339	696
658	1341	694
659	1343	691
660	1345	689
661	1346	687
662	1348	685
663	1350	683
664	1352	681
665	1354	679
666	1356	677
667	1358	675
668	1360	673
669	1362	671
670	1364	669
671	1366	667
672	1368	664
673	1370	662
674	1372	660
675	1374	658
676	1377	657
677	1379	655
678	1381	653
679	1384	651
680	1386	649
681	1389	647
682	1391	645
683	1394	644
684	1396	642
685	1398	639
686	1400	637
687	1402	635
688	1404	633
689	1406	631
690	1407	629
691	1409	627
692	1411	625
693	1413	623
694	1415	621
695	1417	618
696	1418	616
697	1420	614
698	1422	612
699	1424	610
700	1426	608
701	1428	606
702	1430	604
703	1432	602
704	1434	600
705	1435	597
706	1437	595
707	1439	593
708	1441	591
709	1443	589
710	1445	587
711	1447	585
712	1449	583
713	1451	581
714	1453	579
715	1456	577
716	1458	575
717	1460	573
718	1463	571
719	1465	569
720	1467	567
721	1468	565
722	1470	563
723	1472	561
724	1474	559
725	1477	557
726	1479	555
727	1481	553
728	1483	551
729	1485	549
730	1487	547
731	1490	545
732	1492	543
733	1494	541
734	1496	539
735	1498	537
736	1500	535
737	1502	533
738	1503	531
739	1506	529
740	1508	527
741	1510	525
742	1512	523
743	1513	520
744	1515	518
745	1517	516
746	1519	514
747	1521	512
748	1523	510
749	1525	508
750	1527	506
751	1529	504
752	1531	502
753	1532	500
754	1534	498
755	1536	495
756	1538	493
757	1540	491
758	1542	489
759	1544	487
760	1546	485
761	1548	483
762	1549	481
763	1551	479
764	1553	477
765	1555	475
766	1557	473
767	1559	471
768	1561	468
769	1562	466
770	1564	464
771	1566	462
772	1568	460
773	1571	458
774	1573	456
775	1575	454
776	1577	452
777	1579	450
778	1581	448
779	1583	446
780	1585	444
781	1587	442
782	1588	440
783	1590	438
784	1593	436
785	1596	434
786	1597	432
787	1599	430
788	1601	428
789	1603	426
790	1605	424
791	1607	422
792	1609	420
793	1611	418
794	1613	416
795	1615	413
796	1617	411
797	1619	409
798	1620	407
799	1622	405
800	1626	404
801	1628	402
802	1630	399
803	1632	397
804	1634	395
805	1636	393
806	1638	391
807	1639	389
808	1641	387
809	1643	385
810	1645	383
811	1647	381
812	1649	379
813	1651	377
814	1653	375
815	1655	373
816	1657	371
817	1659	369
818	1662	367
819	1663	365
820	1666	363
821	1668	361
822	1670	359
823	1672	357
824	1674	355
825	1676	353
826	1677	351
827	1679	348
828	1681	346
829	1683	344
830	1685	342
831	1688	340
832	1690	338
833	1692	336
834	1694	334
835	1696	332
836	1698	330
837	1699	328
838	1701	326
839	1703	324
840	1705	322
841	1707	320
842	1709	318
843	1711	316
844	1713	314
845	1715	312
846	1717	310
847	1719	308
848	1721	306
849	1723	304
850	1725	302
851	1726	299
852	1728	297
853	1730	295
854	1732	293
855	1734	291
856	1736	289
857	1738	287
858	1739	285
859	1741	283
860	1743	281
861	1745	279
862	1747	277
863	1749	275
864	1751	273
865	1753	271
866	1755	269
867	1756	267
868	1758	265
869	1761	263
870	1763	261
871	1765	259
872	1767	257
873	1769	255
874	1771	253
875	1773	251
876	1775	248
877	1777	246
878	1779	244
879	1781	242
880	1783	240
881	1785	238
882	1788	236
883	1790	234
884	1792	232
885	1794	230
886	1796	228
887	1798	226
888	1800	224
889	1802	222
890	1804	220
891	1806	218
892	1808	216
893	1810	214
894	1812	212
895	1814	210
896	1816	208
897	1818	206
898	1820	204
899	1822	202
900	1824	200
901	1826	198
902	1828	196
903	1830	194
904	1832	192
905	1834	190
906	1836	188
907	1838	186
908	1840	184
909	1842	182
910	1844	180
911	1846	178
912	1848	176
913	1850	174
914	1853	172
915	1854	170
916	1856	168
917	1858	166
918	1861	164
919	1863	162
920	1865	159
921	1867	157
922	1869	155
923	1871	153
924	1873	151
925	1875	149
926	1877	147
927	1878	145
928	1880	143
929	1882	141
930	1884	139
931	1886	137
932	1888	135
933	1890	133
934	1891	131
935	1893	129
936	1895	127
937	1897	125
938	1899	123
939	1901	121
940	1903	119
941	1904	117
942	1906	115
943	1908	113
944	1910	111
945	1912	109
946	1914	107
947	1916	105
948	1917	103
949	1919	101
950	1923	99
951	1925	97
952	1928	95
953	1930	93
954	1932	91
955	1934	89
956	1936	87
957	1938	84
958	1940	82
959	1942	80
960	1944	78
961	1946	76
962	1947	74
963	1949	72
964	1951	70
965	1953	68
966	1955	66
967	1957	64
968	1959	62
969	1961	60
970	1963	58
971	1965	56
972	1967	54
973	1969	52
974	1971	50
975	1973	48
976	1976	46
977	1978	44
978	1980	42
979	1982	40
980	1984	38
981	1986	36
982	1988	34
983	1990	32
984	1993	30
985	1995	28
986	1997	26
987	2000	24
988	2002	22
989	2004	20
990	2006	18
991	2008	16
992	2010	14
993	2013	12
994	2015	10
995	2017	8
996	2020	6
997	2022	4
998	2025	2
999	2027	0
