Player,Season,VORP,DWS,PER,G,FTA,TOV,PTS,DRB,AllNBA,Class
Michael Jordan,1988,11.4,5.2,31.1,81.0,9.8,3.6,32.5,6.2,1,1
Dale Ellis,1988,3.8,1.6,19.7,82.0,5.6,2.7,27.5,2.3,1,3
Kevin Johnson,1988,5.0,3.5,20.5,81.0,7.1,4.0,20.4,3.6,1,2
John Stockton,1988,8.3,5.8,22.9,82.0,5.5,3.8,17.1,2.0,1,2
Kenny Smith,1988,0.4,1.3,14.3,81.0,4.4,3.1,17.3,2.2,0,0
Otis Thorpe,1988,2.1,4.1,15.4,82.0,5.5,2.7,16.7,6.3,0,0
Karl Malone,1988,5.9,6.6,24.4,80.0,11.5,3.6,29.1,7.4,1,1
Terry Porter,1988,3.3,2.6,17.7,81.0,4.0,3.1,17.7,3.5,0,0
Chris Mullin,1988,4.7,3.1,21.9,82.0,6.7,3.6,26.5,4.0,1,2
Charles Barkley,1988,7.4,2.9,27.0,79.0,10.1,3.2,25.8,7.4,1,1
Clyde Drexler,1988,6.6,3.8,23.6,78.0,7.0,3.2,27.2,4.2,0,0
Hakeem Olajuwon,1988,5.7,7.8,25.2,82.0,8.0,3.4,24.8,9.4,1,1
Ken Norman,1988,1.1,2.1,15.4,80.0,3.4,2.6,18.1,5.3,0,0
Chuck Person,1988,0.7,1.7,15.2,80.0,3.8,3.9,21.6,4.7,0,0
Tom Chambers,1988,2.6,4.1,19.3,81.0,7.4,2.9,25.7,6.7,1,2
Dominique Wilkins,1988,4.1,2.9,21.8,80.0,6.6,2.3,26.2,3.7,1,3
Alex English,1988,2.1,1.7,19.0,82.0,4.6,2.4,26.5,2.2,0,0
Derek Harper,1988,3.9,2.8,18.3,81.0,3.5,2.5,17.3,2.2,0,0
James Worthy,1988,3.7,3.1,19.0,81.0,4.0,2.2,20.5,4.0,0,0
Rolando Blackman,1988,1.1,1.4,15.9,78.0,4.7,2.1,19.7,2.6,0,0
Isiah Thomas,1988,3.4,3.9,17.1,80.0,4.4,3.7,18.2,2.8,0,0
Mark Eaton,1988,1.9,6.5,10.6,82.0,2.4,1.7,6.2,7.5,0,0
