Player,Season,TS%,WS/48,VORP,PTS,TRB,AST,STL,BLK,AllNBA
Michael Jordan,1988,0.614,0.292,11.4,32.5,8.0,8.0,2.9,0.8,1
Dale Ellis,1988,0.589,0.163,3.8,27.5,4.2,2.0,1.3,0.3,3
Kevin Johnson,1988,0.597,0.184,5.0,20.4,4.2,12.2,1.7,0.3,2
John Stockton,1988,0.624,0.236,8.3,17.1,3.0,13.6,3.2,0.2,2
Kenny Smith,1988,0.523,0.062,0.4,17.3,2.8,7.7,1.3,0.1,0
Otis Thorpe,1988,0.591,0.133,2.1,16.7,9.6,2.5,1.0,0.5,0
Karl Malone,1988,0.592,0.233,5.9,29.1,10.7,2.7,1.8,0.9,1
Terry Porter,1988,0.555,0.142,3.3,17.7,4.5,9.5,1.8,0.1,0
Chris Mullin,1988,0.581,0.165,4.7,26.5,5.9,5.1,2.1,0.5,2
Charles Barkley,1988,0.653,0.25,7.4,25.8,12.5,4.1,1.6,0.8,1
Clyde Drexler,1988,0.555,0.197,6.6,27.2,7.9,5.8,2.7,0.7,0
Hakeem Olajuwon,1988,0.552,0.197,5.7,24.8,13.5,1.8,2.6,3.4,1
Ken Norman,1988,0.522,0.064,1.1,18.1,8.3,3.5,1.3,0.8,0
Chuck Person,1988,0.544,0.048,0.7,21.6,6.5,3.6,1.0,0.2,0
Tom Chambers,1988,0.547,0.146,2.6,25.7,8.4,2.9,1.1,0.7,2
Dominique Wilkins,1988,0.528,0.166,4.1,26.2,6.9,2.6,1.5,0.7,3
Alex English,1988,0.531,0.11,2.1,26.5,4.0,4.7,0.8,0.1,0
Derek Harper,1988,0.561,0.13,3.9,17.3,2.8,7.0,2.1,0.5,0
James Worthy,1988,0.582,0.158,3.7,20.5,6.0,3.6,1.3,0.7,0
Rolando Blackman,1988,0.543,0.092,1.1,19.7,3.5,3.7,0.8,0.3,0
Isiah Thomas,1988,0.528,0.115,3.4,18.2,3.4,8.3,1.7,0.3,0
Mark Eaton,1988,0.513,0.108,1.9,6.2,10.3,1.0,0.5,3.8,0
Patrick Ewing,1988,0.607,0.181,4.8,22.7,9.3,2.4,1.5,3.5,2
Magic Johnson,1988,0.625,0.267,8.3,22.5,7.9,12.8,1.8,0.3,1
Moses Malone,1988,0.581,0.178,2.7,20.2,11.8,1.4,1.0,1.2,0
Kevin McHale,1988,0.608,0.168,3.0,22.5,8.2,2.2,0.3,1.2,0
Sam Perkins,1988,0.53,0.108,1.1,15.0,8.8,1.6,1.0,1.2,0
Ron Harper,1988,0.57,0.171,4.8,18.6,5.0,5.3,2.3,0.9,0
Robert Parish,1988,0.607,0.177,3.8,18.6,12.5,2.2,1.0,1.5,3
Terry Cummings,1988,0.518,0.131,2.3,22.9,8.1,2.5,1.3,0.9,3
Brad Daugherty,1988,0.594,0.164,2.9,18.9,9.2,3.7,0.8,0.5,0
Horace Grant,1988,0.547,0.11,1.0,12.0,8.6,2.1,1.1,0.8,0
Derrick McKey,1988,0.575,0.126,2.1,15.9,5.7,2.7,1.3,0.9,0
Sleepy Floyd,1988,0.565,0.133,2.9,14.2,3.7,8.6,1.5,0.1,0
Michael Adams,1988,0.567,0.143,3.4,18.5,3.7,6.4,2.2,0.1,0
Thurl Bailey,1988,0.544,0.113,1.2,19.5,5.5,1.7,0.6,1.1,0
Fat Lever,1988,0.513,0.161,5.0,19.8,9.3,7.9,2.7,0.3,0
Mike Gminski,1988,0.535,0.122,1.6,17.2,9.4,1.7,0.6,1.3,0
Willie Anderson,1988,0.534,0.085,2.3,18.6,5.1,4.6,1.9,0.8,0
Mark Price,1988,0.623,0.199,4.5,18.9,3.0,8.4,1.5,0.1,3
Mitch Richmond,1988,0.541,0.098,1.3,22.0,5.9,4.2,1.0,0.2,0
Jerome Kersey,1988,0.511,0.121,2.3,17.5,8.3,3.2,1.8,1.1,0
Kevin Duckworth,1988,0.531,0.086,-1.0,18.1,8.0,0.8,0.7,0.6,0
Winston Garland,1988,0.483,0.082,1.3,14.5,4.2,6.4,2.2,0.2,0
Reggie Lewis,1988,0.534,0.124,2.3,18.5,4.7,2.7,1.5,0.9,0
Bill Laimbeer,1988,0.557,0.164,3.4,13.7,9.6,2.2,0.6,1.2,0
Ron Anderson,1988,0.531,0.081,0.4,16.2,5.0,1.7,0.9,0.3,0
Rory Sparrow,1988,0.486,0.029,-0.2,12.5,2.7,5.4,1.3,0.2,0
Byron Scott,1988,0.558,0.125,1.9,19.6,4.1,3.1,1.5,0.4,0
Charles Oakley,1988,0.56,0.106,1.0,12.9,10.5,2.3,1.3,0.2,0
Mark Aguirre,1988,0.524,0.082,1.4,18.9,4.8,3.5,0.6,0.5,0
Jack Sikma,1988,0.554,0.151,3.2,13.4,7.8,3.6,1.1,0.8,0
Benoit Benjamin,1988,0.593,0.095,1.5,16.4,8.8,2.0,0.7,2.8,0
Hersey Hawkins,1988,0.544,0.075,1.2,15.1,2.8,3.0,1.5,0.5,0
Darrell Walker,1988,0.469,0.07,1.8,9.0,6.4,6.3,2.0,0.3,0
Bernard King,1988,0.535,0.092,1.6,20.7,4.7,3.6,0.8,0.2,0
Vern Fleming,1988,0.572,0.106,1.9,14.3,4.1,6.5,1.0,0.2,0
Roy Hinson,1988,0.54,0.084,-0.1,16.0,6.4,0.9,0.4,1.5,0
Michael Cage,1988,0.553,0.126,1.6,10.3,9.6,1.6,1.2,0.7,0
Reggie Miller,1988,0.602,0.124,2.5,16.0,3.9,3.1,1.3,0.4,0
Lester Conner,1988,0.531,0.118,2.7,10.3,4.3,7.4,2.2,0.1,0
Larry Nance,1988,0.59,0.197,3.8,17.2,8.0,2.2,0.8,2.8,0
Reggie Theus,1988,0.534,0.113,1.6,15.8,3.0,4.7,1.3,0.2,0
A.C. Green,1988,0.594,0.179,2.3,13.3,9.0,1.3,1.1,0.7,0
Jeff Hornacek,1988,0.545,0.149,3.0,13.5,3.4,6.0,1.7,0.1,0
Mark Jackson,1988,0.535,0.14,3.4,16.9,4.7,8.6,1.9,0.1,0
Larry Krystkowiak,1988,0.552,0.122,0.7,12.7,7.6,1.3,1.2,0.1,0
Herb Williams,1988,0.471,0.027,-0.2,10.2,7.8,1.6,0.6,1.8,0
Doc Rivers,1988,0.548,0.167,4.2,13.6,3.8,6.9,2.4,0.5,0
Buck Williams,1988,0.569,0.101,0.5,13.0,9.4,1.1,0.8,0.5,0
Grant Long,1988,0.561,0.091,0.5,11.9,6.7,1.8,1.5,0.6,0
Rodney McCray,1988,0.513,0.057,1.0,12.6,7.6,4.3,0.8,0.5,0
Wayman Tisdale,1988,0.568,0.117,1.2,17.5,7.7,1.6,0.7,0.7,0
Adrian Dantley,1988,0.581,0.147,1.6,19.2,4.3,2.3,0.6,0.2,0
Jeff Malone,1988,0.529,0.081,0.8,21.7,2.4,2.9,0.5,0.2,0
Gerald Wilkins,1988,0.512,0.086,1.1,14.3,3.0,3.4,1.4,0.3,0
John Williams,1988,0.525,0.136,4.0,13.7,7.0,4.3,1.7,0.9,0
Scottie Pippen,1988,0.524,0.08,1.5,14.4,6.1,3.5,1.9,0.8,0
Joe Dumars,1988,0.571,0.14,2.4,17.2,2.5,5.7,0.9,0.1,0
Greg Anderson,1988,0.516,0.069,0.0,13.7,8.2,0.7,1.2,1.3,0
Xavier McDaniel,1988,0.533,0.107,0.8,20.5,5.3,1.6,1.0,0.5,0
Darrell Griffith,1988,0.504,0.078,0.2,13.8,4.0,1.6,1.0,0.3,0
Danny Ainge,1988,0.554,0.135,2.7,17.5,3.5,5.5,1.3,0.1,0
Kevin Edwards,1988,0.46,-0.003,0.1,13.8,3.3,4.4,1.8,0.3,0
Nate McMillan,1988,0.468,0.09,2.4,7.1,5.2,9.3,2.1,0.6,0
Johnny Newman,1988,0.582,0.138,1.8,16.0,2.5,2.0,1.4,0.3,0
Bill Cartwright,1988,0.535,0.042,-1.7,12.4,6.7,1.2,0.3,0.5,0
LaSalle Thompson,1988,0.544,0.09,0.4,13.9,9.4,1.1,1.0,1.2,0
Dennis Johnson,1988,0.498,0.051,0.2,10.0,2.6,6.6,1.3,0.3,0
Kelly Tripucka,1988,0.558,0.069,1.3,22.6,3.8,3.2,1.2,0.2,0
Brian Shaw,1988,0.472,0.046,0.8,8.6,4.6,5.8,1.0,0.3,0
Maurice Cheeks,1988,0.527,0.11,2.2,11.6,2.6,7.8,1.5,0.2,0
Alvin Robertson,1988,0.523,0.093,2.6,17.3,5.9,6.0,3.0,0.6,0
Billy Thompson,1988,0.524,0.06,0.4,10.8,7.2,2.2,0.7,1.3,0
Mike Woodson,1988,0.503,0.074,0.2,12.9,2.4,2.5,1.1,0.2,0
Harold Pressley,1988,0.529,0.102,2.2,12.3,6.1,2.2,1.2,1.0,0
Kurt Rambis,1988,0.565,0.104,1.3,11.1,9.4,2.1,1.3,0.8,0
Jay Humphries,1988,0.539,0.105,1.8,11.6,2.6,5.5,1.9,0.1,0
Rex Chapman,1988,0.467,-0.005,-0.7,16.9,2.5,2.3,0.9,0.3,0
Dennis Rodman,1988,0.613,0.175,2.3,9.0,9.4,1.2,0.7,0.9,0
Cliff Levingston,1988,0.563,0.121,1.2,9.2,6.2,0.9,1.2,0.9,0
Paul Pressey,1988,0.539,0.105,2.3,12.1,3.9,6.6,1.8,0.7,0
Charles Smith,1988,0.55,0.089,0.2,16.3,6.5,1.5,1.0,1.3,0
Robert Reid,1988,0.464,-0.002,-1.1,14.7,3.7,1.9,0.6,0.2,0
Hot Rod Williams,1988,0.566,0.173,2.3,11.6,5.8,1.3,0.9,1.6,0
Armen Gilliam,1988,0.548,0.115,0.5,15.9,7.3,0.7,0.7,0.4,0
Mike Sanders,1988,0.482,0.071,-0.2,9.3,3.7,1.6,1.1,0.4,0
Chris Morris,1988,0.528,0.064,0.9,14.1,5.2,1.6,1.3,0.8,0
Ricky Pierce,1988,0.573,0.155,2.0,17.6,2.6,2.1,1.0,0.3,0
Terry Catledge,1988,0.518,0.077,-0.5,10.4,7.2,0.9,0.6,0.3,0
Vinnie Johnson,1988,0.508,0.136,2.2,13.8,3.1,3.0,0.9,0.2,0
Vernon Maxwell,1988,0.496,0.035,-0.3,11.7,2.6,3.8,1.1,0.1,0
Earl Cureton,1988,0.512,0.035,-0.4,6.5,6.0,1.6,0.6,0.7,0
Eddie Johnson,1988,0.564,0.152,2.1,21.5,4.4,2.3,0.7,0.1,0
Rik Smits,1988,0.557,0.101,0.6,11.7,6.1,0.9,0.5,1.8,0
Mike McGee,1988,0.529,0.055,0.4,13.0,2.4,1.5,1.0,0.2,0
Mark West,1988,0.644,0.131,1.5,7.2,6.7,0.5,0.4,2.3,0
Ed Pinckney,1988,0.591,0.145,1.8,11.5,5.6,1.5,1.0,0.8,0
Joe Barry Carroll,1988,0.497,0.056,0.5,14.1,7.4,1.6,1.1,1.3,0
Mychal Thompson,1988,0.593,0.126,0.5,9.2,5.8,0.6,0.7,0.7,0
Rony Seikaly,1988,0.471,-0.012,-1.9,10.9,7.0,0.7,0.6,1.2,0
Michael Cooper,1988,0.549,0.11,1.5,7.3,2.4,3.9,0.9,0.4,0
Gary Grant,1988,0.469,-0.009,0.0,11.9,3.4,7.1,2.0,0.1,0
Danny Schayes,1988,0.618,0.141,0.4,12.8,6.6,1.4,0.6,1.1,0
Larry Smith,1988,0.54,0.094,0.2,5.7,8.2,1.5,0.8,0.7,0
Rod Higgins,1988,0.583,0.15,1.5,10.6,4.6,2.0,0.5,0.5,0
Craig Ehlo,1988,0.528,0.118,1.9,7.4,3.6,3.2,1.3,0.2,0
Wayne Cooper,1988,0.53,0.128,0.9,6.6,7.8,1.0,0.5,2.7,0
Walter Davis,1988,0.544,0.092,0.7,15.6,1.9,2.3,0.9,0.1,0
Buck Johnson,1988,0.559,0.094,0.7,9.6,4.3,1.9,1.0,0.5,0
Detlef Schrempf,1988,0.566,0.113,0.9,12.0,5.7,2.6,0.8,0.3,0
Trent Tucker,1988,0.569,0.122,1.6,8.5,2.2,1.6,1.1,0.1,0
Frank Brickowski,1988,0.563,0.094,0.7,13.7,6.3,2.0,1.6,0.5,0
Alton Lister,1988,0.529,0.097,0.0,8.0,6.6,0.7,0.3,2.2,0
Rick Mahorn,1988,0.566,0.123,1.1,7.3,6.9,0.8,0.6,0.9,0
Manute Bol,1988,0.421,0.046,0.4,3.9,5.8,0.3,0.1,4.3,0
Muggsy Bogues,1988,0.463,0.07,1.4,5.4,2.1,7.8,1.4,0.1,0
Elston Turner,1988,0.446,0.056,0.0,4.3,3.7,1.8,1.2,0.1,0
