Season,Team,Voting,Player,Position
2023-24,1st,(V),Nikola Jokić ,C
2023-24,1st,(V),Giannis Antetokounmpo ,F
2023-24,1st,(V),Jayson Tatum ,F
2023-24,1st,(V),Luka Dončić ,G
2023-24,1st,(V),Shai Gilgeous-Alexander ,G
2023-24,2nd,(V),Anthony Davis ,C
2023-24,2nd,(V),Kevin Durant ,F
2023-24,2nd,(V),Kawhi Leonard ,F
2023-24,2nd,(V),Jalen Brunson ,G
2023-24,2nd,(V),Anthony Edwards ,G
2023-24,3rd,(V),LeBron James ,F
2023-24,3rd,(V),Domantas Sabonis ,F
2023-24,3rd,(V),Devin Booker ,G
2023-24,3rd,(V),Stephen Curry ,G
2023-24,3rd,(V),Tyrese Haliburton ,G
,,,,
,,,,
,,,,
,,,,
,,,,
2022-23,1st,(V),Joel Embiid ,C
2022-23,1st,(V),Giannis Antetokounmpo ,F
2022-23,1st,(V),Jayson Tatum ,F
2022-23,1st,(V),Luka Dončić ,G
2022-23,1st,(V),Shai Gilgeous-Alexander ,G
2022-23,2nd,(V),Nikola Jokić ,C
2022-23,2nd,(V),Jimmy Butler ,F
2022-23,2nd,(V),Jaylen Brown ,F
2022-23,2nd,(V),Donovan Mitchell ,G
2022-23,2nd,(V),Stephen Curry ,G
2022-23,3rd,(V),Domantas Sabonis ,C
2022-23,3rd,(V),LeBron James ,F
2022-23,3rd,(V),Julius Randle ,F
2022-23,3rd,(V),De'Aaron Fox ,G
2022-23,3rd,(V),Damian Lillard ,G
,,,,
,,,,
,,,,
,,,,
,,,,
2021-22,1st,(V),Nikola Jokić ,C
2021-22,1st,(V),Giannis Antetokounmpo ,F
2021-22,1st,(V),Jayson Tatum ,F
2021-22,1st,(V),Luka Dončić ,G
2021-22,1st,(V),Devin Booker ,G
2021-22,2nd,(V),Joel Embiid ,C
2021-22,2nd,(V),Kevin Durant ,F
2021-22,2nd,(V),DeMar DeRozan ,F
2021-22,2nd,(V),Ja Morant ,G
2021-22,2nd,(V),Stephen Curry ,G
2021-22,3rd,(V),Karl-Anthony Towns ,C
2021-22,3rd,(V),LeBron James ,F
2021-22,3rd,(V),Pascal Siakam ,F
