Player,Season,VORP,DWS,PER,G,FTA,TOV,PTS,DRB,RookieNBA,ClassRookie,Rookie
Willie Anderson,1988,2.3,2.8,16.6,81.0,3.6,3.2,18.6,3.3,1,1,1
Mitch Richmond,1988,1.3,1.9,17.2,79.0,6.4,3.4,22.0,3.9,1,1,1
Hersey Hawkins,1988,1.2,1.3,14.2,79.0,3.7,2.0,15.1,2.2,1,1,1
Grant Long,1988,0.5,2.7,13.7,82.0,5.0,2.5,11.9,3.7,0,0,1
Kevin Edwards,1988,0.1,2.2,12.6,79.0,2.4,3.1,13.8,2.2,0,0,1
Brian Shaw,1988,0.8,1.7,12.2,82.0,1.6,2.3,8.6,3.1,0,0,1
Rex Chapman,1988,-0.7,0.4,12.6,75.0,2.6,1.5,16.9,1.5,0,0,1
Charles Smith,1988,0.2,1.6,15.6,71.0,5.5,2.1,16.3,4.1,1,1,1
Chris Morris,1988,0.9,2.0,15.0,76.0,3.3,2.5,14.1,2.8,0,0,1
Vernon Maxwell,1988,-0.3,1.4,12.1,79.0,3.1,2.3,11.7,1.9,0,0,1
Rik Smits,1988,0.6,1.9,15.6,82.0,3.1,1.6,11.7,3.8,1,1,1
Rony Seikaly,1988,-1.9,2.2,10.8,78.0,4.5,2.6,10.9,4.4,0,0,1
Gary Grant,1988,0.0,1.6,14.1,71.0,2.3,3.6,11.9,2.2,0,0,1
Vinny Del Negro,1988,0.3,1.0,12.7,80.0,1.3,1.0,7.1,1.5,0,0,1
Derrick Chievous,1988,-0.5,1.6,11.6,81.0,3.0,1.7,9.3,1.8,0,0,1
Tom Garrick,1988,-0.2,0.9,11.0,71.0,1.8,1.6,6.4,1.7,0,0,1
Ledell Eackles,1988,0.1,0.8,15.2,80.0,4.3,1.6,11.5,1.0,0,0,1
Ricky Berry,1988,0.1,0.8,13.1,64.0,2.6,1.3,11.0,2.2,0,0,1
Scott Brooks,1988,1.1,0.6,14.0,82.0,0.8,0.8,5.2,0.9,0,0,1
Rod Strickland,1988,1.4,1.5,18.0,81.0,2.9,1.8,8.9,1.3,0,0,1
Dan Majerle,1988,0.8,1.7,11.3,54.0,2.4,0.9,8.6,2.7,0,0,1
Sylvester Gray,1988,-0.2,1.1,11.2,55.0,2.8,1.9,8.0,3.1,0,0,1
Harvey Grant,1988,0.0,0.9,10.6,71.0,0.8,0.4,5.6,1.2,0,0,1
Danny Manning,1988,0.2,0.7,13.4,26.0,4.0,3.6,16.7,3.9,0,0,1
John Shasky,1988,-0.1,0.7,12.7,65.0,2.6,0.7,5.5,2.1,0,0,1
Mark Bryant,1988,-0.5,0.7,9.1,56.0,1.2,0.7,5.0,2.0,0,0,1
Jim Les,1988,-0.3,1.1,7.9,82.0,0.9,1.1,1.7,0.8,0,0,1
Eric Leckner,1988,-0.6,1.4,9.7,75.0,1.5,0.9,4.3,2.0,0,0,1
Michael Anderson,1988,-0.1,0.6,10.5,36.0,2.3,2.3,5.7,1.3,0,0,1
Shelton Jones,1988,-0.2,0.4,10.4,51.0,1.6,0.9,4.8,1.6,0,0,1
Kelvin Upshaw,1988,-0.2,0.4,10.3,32.0,0.8,1.7,6.8,1.2,0,0,1
Tim Perry,1988,0.4,0.8,14.4,62.0,1.0,0.6,4.1,1.1,0,0,1
Jerome Lane,1988,-0.4,0.7,12.3,54.0,2.1,0.9,4.8,2.1,0,0,1
Ron Grandison,1988,-0.1,0.3,10.1,72.0,1.1,0.5,2.5,0.6,0,0,1
Andrew Lang,1988,0.1,0.9,11.6,62.0,1.0,0.5,2.6,1.5,0,0,1
Craig Neal,1988,-0.4,0.3,6.7,53.0,0.4,1.0,2.2,0.4,0,0,1
Charles Shackleford,1988,-0.1,0.6,13.9,60.0,0.7,0.5,3.1,1.7,0,0,1
David Rivers,1988,-0.2,0.5,9.8,47.0,0.9,1.3,2.9,0.6,0,0,1
Anthony Bowie,1988,-0.2,0.3,10.6,18.0,0.8,1.2,8.6,1.7,0,0,1
Morlon Wiley,1988,0.0,0.5,10.3,51.0,0.3,0.7,2.2,0.7,0,0,1
Anthony Taylor,1988,0.0,0.3,11.1,21.0,1.5,1.0,6.9,1.1,0,0,1
Micheal Williams,1988,-0.3,0.4,7.7,49.0,1.0,0.9,2.6,0.4,0,0,1
Todd Mitchell,1988,-0.3,0.3,7.5,24.0,2.7,1.4,5.1,1.3,0,0,1
Corey Gaines,1988,-0.1,0.2,9.1,32.0,0.5,0.6,2.1,0.5,0,0,1
Randolph Keys,1988,-0.3,0.5,11.5,42.0,0.7,0.5,4.0,0.8,0,0,1
José Ortiz,1988,-0.4,0.5,8.1,51.0,1.0,0.7,2.8,0.5,0,0,1
John Starks,1988,-0.1,0.3,10.3,36.0,1.4,1.1,4.1,0.7,0,0,1
Anthony Frederick,1988,-0.1,0.2,11.9,46.0,0.7,0.7,3.3,0.6,0,0,1
Bill Jones,1988,0.1,0.3,13.9,37.0,1.2,0.5,3.5,0.7,0,0,1
Avery Johnson,1988,0.1,0.3,10.8,43.0,0.4,0.4,1.6,0.3,0,0,1
Jack Haley,1988,-0.3,0.3,9.9,51.0,0.9,0.5,2.2,1.0,0,0,1
Mark Davis,1988,0.1,0.3,15.0,33.0,1.0,0.4,3.8,0.6,0,0,1
Duane Ferrell,1988,-0.1,0.2,12.0,41.0,1.1,0.3,2.4,0.5,0,0,1
Everette Stephens,1988,-0.2,0.1,6.4,35.0,0.6,0.8,1.9,0.3,0,0,1
Jeff Grayer,1988,0.0,0.2,12.6,11.0,1.8,1.7,7.4,1.9,0,0,1
Will Perdue,1988,-0.3,0.2,7.2,30.0,0.5,0.5,2.2,0.9,0,0,1
Steve Kerr,1988,0.2,0.2,12.7,26.0,0.3,0.2,2.1,0.5,0,0,1
Greg Butler,1988,-0.3,0.1,4.7,33.0,0.6,0.5,1.7,0.6,0,0,1
Dominic Pressley,1988,-0.1,0.1,5.3,13.0,0.7,0.8,1.8,0.9,0,0,1
Tom Tolbert,1988,0.0,0.1,10.0,14.0,0.9,0.1,2.9,1.0,0,0,1
Tito Horford,1988,-0.3,0.1,3.6,25.0,0.8,0.6,1.7,0.5,0,0,1
Rob Lock,1988,-0.2,0.1,5.3,20.0,0.8,0.7,1.5,0.9,0,0,1
Dave Popson,1988,-0.1,0.1,6.4,17.0,0.2,0.6,2.0,0.9,0,0,1
Ramón Rivas,1988,-0.1,0.1,9.3,28.0,0.9,0.3,1.4,0.5,0,0,1
Ben Gillery,1988,-0.2,0.1,5.0,24.0,1.0,0.2,1.0,0.7,0,0,1
Fennis Dembo,1988,-0.2,0.1,7.8,31.0,0.3,0.2,1.2,0.5,0,0,1
Wayne Engelstad,1988,-0.1,0.1,12.4,11.0,0.9,0.3,2.5,1.0,0,0,1
Randy Allen,1988,-0.1,0.0,6.9,7.0,0.3,0.3,2.4,0.6,0,0,1
