Player,Season,WS/48,PER,PTS,TRB,AST,STL,BLK,AllNBA_pred_proba,Class
Hakeem Olajuwon,1988,0.197,25.2,24.8,13.5,1.8,2.6,3.4,0.60941676850487,1
Magic Johnson,1988,0.267,26.9,22.5,7.9,12.8,1.8,0.3,0.5978682859246831,1
Michael Jordan,1988,0.292,31.1,32.5,8.0,8.0,2.9,0.8,0.5819194211211353,1
Karl Malone,1988,0.233,24.4,29.1,10.7,2.7,1.8,0.9,0.5733404846004391,1
Charles Barkley,1988,0.25,27.0,25.8,12.5,4.1,1.6,0.8,0.5675436488161855,1
Clyde Drexler,1988,0.197,23.6,27.2,7.9,5.8,2.7,0.7,0.5528162707956323,0
Chris Mullin,1988,0.165,21.9,26.5,5.9,5.1,2.1,0.5,0.5485351140909773,2
Patrick Ewing,1988,0.181,22.1,22.7,9.3,2.4,1.5,3.5,0.5414205971445362,2
John Stockton,1988,0.236,22.9,17.1,3.0,13.6,3.2,0.2,0.5383731636466441,2
Kevin Johnson,1988,0.184,20.5,20.4,4.2,12.2,1.7,0.3,0.5071614122085171,2
Dominique Wilkins,1988,0.166,21.8,26.2,6.9,2.6,1.5,0.7,0.5016445710460193,3
Dale Ellis,1988,0.163,19.7,27.5,4.2,2.0,1.3,0.3,0.49779914867755953,3
Fat Lever,1988,0.161,20.6,19.8,9.3,7.9,2.7,0.3,0.4940567366292854,0
Ron Harper,1988,0.171,19.8,18.6,5.0,5.3,2.3,0.9,0.4861735538658941,0
Roy Tarpley,1988,0.166,22.2,17.3,11.5,0.9,1.5,1.6,0.4850011481434661,0
Kevin McHale,1988,0.168,20.3,22.5,8.2,2.2,0.3,1.2,0.4824055555232048,0
Mark Price,1988,0.199,20.6,18.9,3.0,8.4,1.5,0.1,0.47529793478813587,3
Robert Parish,1988,0.177,21.6,18.6,12.5,2.2,1.0,1.5,0.47024928274376715,3
James Worthy,1988,0.158,19.0,20.5,6.0,3.6,1.3,0.7,0.46743753200926486,0
Brad Daugherty,1988,0.164,18.5,18.9,9.2,3.7,0.8,0.5,0.46743753200926486,0
Moses Malone,1988,0.178,21.2,20.2,11.8,1.4,1.0,1.2,0.46653681644959366,0
Terry Porter,1988,0.142,17.7,17.7,4.5,9.5,1.8,0.1,0.463771511492052,0
Larry Nance,1988,0.197,19.9,17.2,8.0,2.2,0.8,2.8,0.4616460179447554,0
Michael Adams,1988,0.143,17.5,18.5,3.7,6.4,2.2,0.1,0.4559360911192703,0
Tom Chambers,1988,0.146,19.3,25.7,8.4,2.9,1.1,0.7,0.4521962015669284,2
Mark Jackson,1988,0.14,18.3,16.9,4.7,8.6,1.9,0.1,0.44648683189970395,0
Eddie Johnson,1988,0.152,19.4,21.5,4.4,2.3,0.7,0.1,0.4397460820070881,0
Ricky Pierce,1988,0.155,18.6,17.6,2.6,2.1,1.0,0.3,0.4394251749032432,0
Alex English,1988,0.11,19.0,26.5,4.0,4.7,0.8,0.1,0.43813152657952176,0
Terry Cummings,1988,0.131,19.7,22.9,8.1,2.5,1.3,0.9,0.4378785185529276,3
Hakeem Olajuwon,1989,0.173,24.1,24.3,14.0,2.9,2.1,4.6,0.60941676850487,2
Charles Barkley,1989,0.269,27.1,25.2,11.5,3.9,1.9,0.6,0.5858779747680056,1
Patrick Ewing,1989,0.205,25.8,28.6,10.9,2.2,1.0,4.0,0.583487974308323,1
Magic Johnson,1989,0.27,26.6,22.3,6.6,11.5,1.7,0.4,0.5796839700450276,1
Michael Jordan,1989,0.285,31.2,33.6,6.9,6.3,2.8,0.7,0.5742254443142697,1
Kevin Johnson,1989,0.2,22.8,22.5,3.6,11.4,1.3,0.2,0.5692326798491294,2
Karl Malone,1989,0.245,27.2,31.0,11.1,2.8,1.5,0.6,0.5548728093071023,1
Clyde Drexler,1989,0.208,22.2,23.3,6.9,5.9,2.0,0.7,0.5485351140909773,3
John Stockton,1989,0.238,23.9,17.2,2.6,14.5,2.7,0.2,0.5383731636466441,2
Larry Bird,1989,0.154,21.9,24.3,9.5,7.5,1.4,0.8,0.5377243769005569,2
Chris Mullin,1989,0.174,22.7,25.1,5.9,4.1,1.6,0.6,0.5298741506671065,3
Reggie Miller,1989,0.182,20.8,24.6,3.6,3.8,1.3,0.2,0.5106618704057463,0
Ricky Pierce,1989,0.163,21.9,23.0,2.8,2.3,0.8,0.1,0.5016445710460193,0
Dominique Wilkins,1989,0.184,24.6,26.7,6.5,2.5,1.6,0.6,0.5016445710460193,0
James Worthy,1989,0.172,19.8,21.1,6.0,3.6,1.2,0.6,0.49806559621559127,3
Terry Porter,1989,0.202,20.0,17.6,3.4,9.1,1.9,0.1,0.4940567366292854,0
