Player,Season,VORP,DWS,PER,FTA,TOV,PTS,AllNBA_pred_proba,Class
Michael Jordan,1988,11.4,5.2,31.1,9.8,3.6,32.5,0.6019737169034446,1
Karl Malone,1988,5.9,6.6,24.4,11.5,3.6,29.1,0.5903758007593606,1
Hakeem Olajuwon,1988,5.7,7.8,25.2,8.0,3.4,24.8,0.5800898874683799,1
Patrick Ewing,1988,4.8,4.7,22.1,6.1,3.3,22.7,0.5800898874683799,2
Magic Johnson,1988,8.3,4.0,26.9,7.3,4.1,22.5,0.5704848367099341,1
John Stockton,1988,8.3,5.8,22.9,5.5,3.8,17.1,0.564790130083724,2
Clyde Drexler,1988,6.6,3.8,23.6,7.0,3.2,27.2,0.5586421065776951,0
Chris Mullin,1988,4.7,3.1,21.9,6.7,3.6,26.5,0.5586421065776951,2
Charles Barkley,1988,7.4,2.9,27.0,10.1,3.2,25.8,0.5367639482088623,1
Kevin Johnson,1988,5.0,3.5,20.5,7.1,4.0,20.4,0.5311993524152337,2
Ron Harper,1988,4.8,5.1,19.8,5.2,2.8,18.6,0.5307893357881973,0
Mark Price,1988,4.5,3.3,20.6,3.9,2.8,18.9,0.5011888905543659,3
Fat Lever,1988,5.0,4.2,20.6,4.8,2.2,19.8,0.5011888905543659,0
Dominique Wilkins,1988,4.1,2.9,21.8,6.6,2.3,26.2,0.4858827565344367,3
Terry Cummings,1988,2.3,3.5,19.7,5.8,2.5,22.9,0.4856817708956857,3
Tom Chambers,1988,2.6,4.1,19.3,7.4,2.9,25.7,0.4856817708956857,2
Robert Parish,1988,3.8,3.6,21.6,5.1,2.5,18.6,0.48029873165127474,3
Moses Malone,1988,2.7,3.9,21.2,8.8,3.0,20.2,0.48029873165127474,0
Brad Daugherty,1988,2.9,4.6,18.5,6.7,2.9,18.9,0.47988778584762337,0
Dale Ellis,1988,3.8,1.6,19.7,5.6,2.7,27.5,0.4742121242257022,3
Doc Rivers,1988,4.2,3.2,18.4,3.8,2.1,13.6,0.46924307265548765,0
Kevin McHale,1988,3.0,1.9,20.3,6.8,2.5,22.5,0.46365923354276284,0
Larry Nance,1988,3.8,4.7,19.9,4.6,1.6,17.2,0.442687914423825,0
Michael Adams,1988,3.4,2.9,17.5,5.1,2.3,18.5,0.4362702647108282,0
Alex English,1988,2.1,1.7,19.0,4.6,2.4,26.5,0.43393257450266204,0
Bill Laimbeer,1988,3.4,5.0,16.6,2.6,1.6,13.7,0.43313706978213745,0
James Worthy,1988,3.7,3.1,19.0,4.0,2.2,20.5,0.42844803643017343,0
Alvin Robertson,1988,2.6,3.1,17.2,3.9,3.6,17.3,0.42844803643017343,0
Isiah Thomas,1988,3.4,3.9,17.1,4.4,3.7,18.2,0.42844803643017343,0
Eddie Johnson,1988,2.1,1.9,19.4,3.6,1.7,21.5,0.426685334994014,0
Karl Malone,1989,6.6,5.4,27.2,11.1,3.7,31.0,0.5903758007593606,1
Patrick Ewing,1989,6.0,5.3,25.8,7.9,3.4,28.6,0.5903758007593606,1
Michael Jordan,1989,10.6,4.3,31.2,8.5,3.0,33.6,0.5808360204894076,1
Hakeem Olajuwon,1989,6.2,8.7,24.1,6.5,3.9,24.3,0.5800898874683799,2
Charles Barkley,1989,8.0,4.2,27.1,9.4,3.1,25.2,0.5704848367099341,1
Magic Johnson,1989,8.9,3.8,26.6,8.1,3.7,22.3,0.5704848367099341,1
Clyde Drexler,1989,6.3,4.3,22.2,5.9,2.6,23.3,0.5586421065776951,3
John Stockton,1989,8.0,4.0,23.9,5.5,3.5,17.2,0.5431762914184111,2
Chris Mullin,1989,5.0,1.3,22.7,7.3,3.1,25.1,0.5367639482088623,3
Dominique Wilkins,1989,5.4,1.8,24.6,7.1,2.2,26.7,0.5367639482088623,0
Kevin Johnson,1989,4.9,2.6,22.8,8.1,3.6,22.5,0.5367639482088623,2
Reggie Miller,1989,4.8,1.3,20.8,7.6,2.7,24.6,0.5367639482088623,0
Larry Bird,1989,5.5,4.1,21.9,4.6,3.2,24.3,0.5288301716963238,2
Terry Porter,1989,5.4,3.8,20.0,5.9,3.1,17.6,0.5089550174366129,0
Tom Chambers,1989,3.3,3.7,20.9,8.0,2.7,27.2,0.5079611469650268,2
James Worthy,1989,4.3,3.1,19.8,4.0,2.0,21.1,0.5065778420286335,3
Terry Cummings,1989,2.7,4.4,19.6,5.4,2.5,22.4,0.4856817708956857,0
Kevin McHale,1989,3.8,3.3,21.8,5.4,2.2,20.9,0.48029873165127474,0
Mark Price,1989,4.9,2.5,21.1,4.6,2.9,19.6,0.4791182296767192,0
Fat Lever,1989,4.9,4.2,19.9,4.3,2.0,18.3,0.47891743561749117,0
Derek Harper,1989,5.0,3.6,19.8,3.8,2.5,18.0,0.47891743561749117,0
Ricky Pierce,1989,2.1,1.0,21.9,6.2,2.2,23.0,0.474601788777817,0
Ron Harper,1989,2.3,1.7,20.2,6.6,2.9,22.8,0.46365923354276284,0
Hot Rod Williams,1989,2.9,4.1,19.0,5.4,1.7,16.8,0.45077357684465247,0
Isiah Thomas,1989,3.7,4.6,17.3,4.7,4.0,18.4,0.44999361934748183,0
Sam Perkins,1989,2.5,3.3,17.3,5.6,1.9,15.9,0.4484872496697968,0
Bernard King,1989,1.7,1.4,18.8,6.3,3.0,22.4,0.44077594545811705,0
Tony Campbell,1989,1.8,2.5,17.1,6.9,3.1,23.2,0.44077594545811705,0
Hersey Hawkins,1989,2.7,2.5,17.0,5.3,2.3,18.5,0.4362702647108282,0
Joe Dumars,1989,2.7,3.0,17.2,4.4,1.9,17.8,0.42844803643017343,3
Michael Jordan,1990,10.8,5.4,31.6,8.2,2.5,31.5,0.6019737169034446,1
David Robinson,1990,8.2,7.6,27.4,9.5,3.3,25.6,0.5917776594084504,1
Karl Malone,1990,6.2,5.6,24.8,10.8,3.0,29.0,0.5903758007593606,1
Patrick Ewing,1990,4.9,5.6,23.7,7.7,3.6,26.6,0.5800898874683799,2
Clyde Drexler,1990,6.4,4.5,22.1,6.4,2.8,21.5,0.5800898874683799,2
Charles Barkley,1990,7.0,3.1,28.9,9.8,3.1,27.6,0.5690631043825306,1
John Stockton,1990,8.1,4.7,23.4,5.3,3.6,17.2,0.564790130083724,3
Kevin Johnson,1990,6.0,3.3,23.7,8.0,3.5,22.2,0.5586421065776951,2
Magic Johnson,1990,8.1,4.2,25.1,7.3,4.0,19.4,0.5431762914184111,1
Hakeem Olajuwon,1990,4.3,5.7,24.3,4.9,3.1,21.2,0.5371770318138935,3
Dominique Wilkins,1990,5.4,2.8,23.5,7.1,2.5,25.9,0.5367639482088623,2
Chris Mullin,1990,5.6,2.4,21.4,7.1,3.0,25.7,0.5367639482088623,2
Reggie Miller,1990,4.6,0.8,21.2,7.3,2.0,22.6,0.525509156654758,0
Michael Adams,1990,4.3,0.4,22.3,8.0,3.6,26.5,0.525509156654758,0
Scottie Pippen,1990,5.9,5.4,20.6,4.1,2.8,17.8,0.5230449205434101,0
Tim Hardaway,1990,5.2,2.5,20.9,4.6,3.3,22.9,0.506778954425423,0
Terry Porter,1990,6.2,3.9,21.7,4.2,2.3,17.0,0.5011888905543659,0
Larry Nance,1990,4.2,3.6,20.6,4.1,1.6,19.2,0.4937982446884086,0
Brad Daugherty,1990,3.1,3.6,19.9,7.6,2.8,21.6,0.4856817708956857,0
Hersey Hawkins,1990,4.1,3.3,19.4,6.9,2.7,22.1,0.4856817708956857,0
Otis Thorpe,1990,2.5,4.5,17.2,5.9,2.6,17.5,0.47988778584762337,0
Alvin Robertson,1990,4.2,4.3,18.6,3.2,2.6,13.6,0.46924307265548765,0
Mitch Richmond,1990,2.3,1.9,17.8,6.0,3.0,23.9,0.46365923354276284,0
Ricky Pierce,1990,2.4,1.2,21.0,6.0,1.9,20.5,0.45830277821806087,0
Charles Smith,1990,2.1,3.6,17.6,6.5,2.2,20.0,0.458103035557444,0
Joe Dumars,1990,3.6,3.1,18.0,5.2,2.4,20.4,0.458103035557444,3
Bernard King,1990,1.8,1.6,19.1,7.6,4.0,28.4,0.4512462034381752,3
James Worthy,1990,3.4,3.5,18.1,3.4,1.6,21.4,0.4484199904259549,3
Robert Parish,1990,2.6,3.9,20.6,3.8,1.9,14.9,0.44081550418607374,0
Sherman Douglas,1990,2.5,1.9,18.0,5.7,3.7,18.5,0.4362702647108282,0
Michael Jordan,1991,9.2,5.6,27.7,7.4,2.5,30.1,0.6019737169034446,1
Karl Malone,1991,5.9,5.2,25.4,10.7,3.1,28.0,0.5903758007593606,1
Clyde Drexler,1991,7.4,4.5,23.6,6.6,3.2,25.0,0.5800898874683799,1
Patrick Ewing,1991,5.5,6.9,22.8,6.2,2.5,24.0,0.5800898874683799,2
David Robinson,1991,7.4,6.9,27.5,8.3,2.7,23.2,0.5800898874683799,1
Hakeem Olajuwon,1991,4.6,5.6,23.7,6.1,2.7,21.6,0.5800898874683799,0
Charles Barkley,1991,6.1,3.7,24.5,8.7,3.1,23.1,0.5586421065776951,2
Brad Daugherty,1991,4.5,3.5,23.0,7.3,2.5,21.5,0.5586421065776951,3
Scottie Pippen,1991,6.4,5.5,21.5,5.3,3.1,21.0,0.5529134366683729,2
John Stockton,1991,8.1,4.6,22.8,4.5,3.5,15.8,0.5253828351794215,2
Chris Mullin,1991,4.8,2.7,19.9,5.2,2.5,25.6,0.5145423495217799,1
Horace Grant,1991,5.2,5.0,20.6,3.9,1.2,14.2,0.5059692714933887,0
Danny Manning,1991,4.6,4.5,19.7,4.7,2.6,19.3,0.5007772939119235,0
Dominique Wilkins,1991,2.7,1.3,22.2,8.4,2.9,28.1,0.49647324514087876,0
Larry Nance,1991,5.2,4.0,21.4,4.0,1.1,17.0,0.4937982446884086,0
Mark Price,1991,4.2,1.6,22.7,4.0,2.2,17.3,0.4791182296767192,3
Jeff Hornacek,1991,4.9,3.8,18.9,3.9,2.1,20.1,0.47891743561749117,0
Ricky Pierce,1991,2.3,1.4,18.2,5.8,2.4,21.7,0.46365923354276284,0
Micheal Williams,1991,3.9,3.2,18.4,5.4,3.0,15.0,0.4484872496697968,0
Shawn Kemp,1991,1.8,3.0,21.6,5.6,2.4,15.5,0.44768157654935775,0
Detlef Schrempf,1991,3.3,2.8,19.5,5.5,2.4,17.3,0.4362702647108282,0
Derrick Coleman,1991,2.3,2.6,19.5,6.0,3.8,19.8,0.4362702647108282,0
