Player,Season,WS/48,PER,PTS,TRB,AST,STL,BLK,AllNBA_pred_proba,Class
Michael Jordan,1988,0.292,31.1,32.5,8.0,8.0,2.9,0.8,0.9880581360409995,1
Magic Johnson,1988,0.267,26.9,22.5,7.9,12.8,1.8,0.3,0.9699570431597838,1
John Stockton,1988,0.236,22.9,17.1,3.0,13.6,3.2,0.2,0.968495184668395,2
Karl Malone,1988,0.233,24.4,29.1,10.7,2.7,1.8,0.9,0.9554283109969017,1
Kevin Johnson,1988,0.184,20.5,20.4,4.2,12.2,1.7,0.3,0.9444838534748076,2
Dale Ellis,1988,0.163,19.7,27.5,4.2,2.0,1.3,0.3,0.928872827201807,3
Hakeem Olajuwon,1988,0.197,25.2,24.8,13.5,1.8,2.6,3.4,0.8959982673329895,1
Charles Barkley,1988,0.25,27.0,25.8,12.5,4.1,1.6,0.8,0.8773923502531935,1
Chris Mullin,1988,0.165,21.9,26.5,5.9,5.1,2.1,0.5,0.8078832012676888,2
Clyde Drexler,1988,0.197,23.6,27.2,7.9,5.8,2.7,0.7,0.7982897075567522,0
Dominique Wilkins,1988,0.166,21.8,26.2,6.9,2.6,1.5,0.7,0.7355875119074516,3
Patrick Ewing,1988,0.181,22.1,22.7,9.3,2.4,1.5,3.5,0.5971502647964487,2
Mark Price,1988,0.199,20.6,18.9,3.0,8.4,1.5,0.1,0.5643251875638418,3
Robert Parish,1988,0.177,21.6,18.6,12.5,2.2,1.0,1.5,0.5119944253138575,3
Tom Chambers,1988,0.146,19.3,25.7,8.4,2.9,1.1,0.7,0.5035384845145526,2
Kevin McHale,1988,0.168,20.3,22.5,8.2,2.2,0.3,1.2,0.415390592118177,0
Terry Cummings,1988,0.131,19.7,22.9,8.1,2.5,1.3,0.9,0.3118932248383997,3
Eddie Johnson,1988,0.152,19.4,21.5,4.4,2.3,0.7,0.1,0.23860385676794085,0
Moses Malone,1988,0.178,21.2,20.2,11.8,1.4,1.0,1.2,0.2197841849641993,0
Roy Tarpley,1988,0.166,22.2,17.3,11.5,0.9,1.5,1.6,0.19466244704543503,0
Fat Lever,1988,0.161,20.6,19.8,9.3,7.9,2.7,0.3,0.14001286209141653,0
James Worthy,1988,0.158,19.0,20.5,6.0,3.6,1.3,0.7,0.1223547117671701,0
Ron Harper,1988,0.171,19.8,18.6,5.0,5.3,2.3,0.9,0.11552287194344374,0
Larry Nance,1988,0.197,19.9,17.2,8.0,2.2,0.8,2.8,0.07989789253797602,0
Brad Daugherty,1988,0.164,18.5,18.9,9.2,3.7,0.8,0.5,0.06896922004451563,0
Terry Porter,1988,0.142,17.7,17.7,4.5,9.5,1.8,0.1,0.049903554526294025,0
Alex English,1988,0.11,19.0,26.5,4.0,4.7,0.8,0.1,0.046289553476246165,0
Michael Adams,1988,0.143,17.5,18.5,3.7,6.4,2.2,0.1,0.037905038584015366,0
Kelly Tripucka,1988,0.069,17.7,22.6,3.8,3.2,1.2,0.2,0.026980963327370468,0
Chuck Person,1988,0.048,15.2,21.6,6.5,3.6,1.0,0.2,0.026030252371378737,0
Karl Malone,1989,0.245,27.2,31.0,11.1,2.8,1.5,0.6,0.9895362746673316,1
Michael Jordan,1989,0.285,31.2,33.6,6.9,6.3,2.8,0.7,0.9868185118495334,1
Patrick Ewing,1989,0.205,25.8,28.6,10.9,2.2,1.0,4.0,0.9772589347650573,1
Charles Barkley,1989,0.269,27.1,25.2,11.5,3.9,1.9,0.6,0.9731421418302778,1
John Stockton,1989,0.238,23.9,17.2,2.6,14.5,2.7,0.2,0.9649712752950818,2
