Player,Season,VORP,DWS,PER,FTA,TOV,PTS,AllNBA_pred_proba,Class
Michael Jordan,1988,11.4,5.2,31.1,9.8,3.6,32.5,0.9890734262457027,1
John Stockton,1988,8.3,5.8,22.9,5.5,3.8,17.1,0.9819507702153077,2
Magic Johnson,1988,8.3,4.0,26.9,7.3,4.1,22.5,0.9780538681732436,1
Karl Malone,1988,5.9,6.6,24.4,11.5,3.6,29.1,0.9721254985249436,1
Charles Barkley,1988,7.4,2.9,27.0,10.1,3.2,25.8,0.9665011032137539,1
Hakeem Olajuwon,1988,5.7,7.8,25.2,8.0,3.4,24.8,0.962958694200578,1
Clyde Drexler,1988,6.6,3.8,23.6,7.0,3.2,27.2,0.9422474111734468,0
Patrick Ewing,1988,4.8,4.7,22.1,6.1,3.3,22.7,0.9027171326568169,2
Chris Mullin,1988,4.7,3.1,21.9,6.7,3.6,26.5,0.8989632312477401,2
Dale Ellis,1988,3.8,1.6,19.7,5.6,2.7,27.5,0.8066308466104669,3
Dominique Wilkins,1988,4.1,2.9,21.8,6.6,2.3,26.2,0.7156273979429953,3
Kevin Johnson,1988,5.0,3.5,20.5,7.1,4.0,20.4,0.6068108029222559,2
Ron Harper,1988,4.8,5.1,19.8,5.2,2.8,18.6,0.6020405137980244,0
Tom Chambers,1988,2.6,4.1,19.3,7.4,2.9,25.7,0.5247059241920798,2
Terry Cummings,1988,2.3,3.5,19.7,5.8,2.5,22.9,0.5123361352211274,3
Robert Parish,1988,3.8,3.6,21.6,5.1,2.5,18.6,0.4155504826629495,3
Mark Price,1988,4.5,3.3,20.6,3.9,2.8,18.9,0.3797352304295074,3
Moses Malone,1988,2.7,3.9,21.2,8.8,3.0,20.2,0.2766075085970399,0
Fat Lever,1988,5.0,4.2,20.6,4.8,2.2,19.8,0.1832429201803289,0
Larry Nance,1988,3.8,4.7,19.9,4.6,1.6,17.2,0.11860162865338864,0
James Worthy,1988,3.7,3.1,19.0,4.0,2.2,20.5,0.10778080215584267,0
Brad Daugherty,1988,2.9,4.6,18.5,6.7,2.9,18.9,0.08080448114707384,0
Doc Rivers,1988,4.2,3.2,18.4,3.8,2.1,13.6,0.06529128124757998,0
John Williams,1988,4.0,3.5,18.8,3.5,1.9,13.7,0.06026535396822703,0
Kevin McHale,1988,3.0,1.9,20.3,6.8,2.5,22.5,0.05606432471162809,0
