Player,Season,WS/48,PER,PTS,TRB,AST,STL,BLK,AllNBA_pred_proba,Class
Michael Jordan,1988,0.292,31.1,32.5,8.0,8.0,2.9,0.8,0.9986429679422275,1
Magic Johnson,1988,0.267,26.9,22.5,7.9,12.8,1.8,0.3,0.9813578084054866,1
Hakeem Olajuwon,1988,0.197,25.2,24.8,13.5,1.8,2.6,3.4,0.9784473100147019,1
Charles Barkley,1988,0.25,27.0,25.8,12.5,4.1,1.6,0.8,0.9504824185432752,1
Clyde Drexler,1988,0.197,23.6,27.2,7.9,5.8,2.7,0.7,0.9374920593113382,0
Karl Malone,1988,0.233,24.4,29.1,10.7,2.7,1.8,0.9,0.9343801761728394,1
John Stockton,1988,0.236,22.9,17.1,3.0,13.6,3.2,0.2,0.8300393767137927,2
Patrick Ewing,1988,0.181,22.1,22.7,9.3,2.4,1.5,3.5,0.7860188583082334,2
Fat Lever,1988,0.161,20.6,19.8,9.3,7.9,2.7,0.3,0.7303359029963179,0
Kevin Johnson,1988,0.184,20.5,20.4,4.2,12.2,1.7,0.3,0.720067795983621,2
Chris Mullin,1988,0.165,21.9,26.5,5.9,5.1,2.1,0.5,0.7097315749271483,2
Dominique Wilkins,1988,0.166,21.8,26.2,6.9,2.6,1.5,0.7,0.4734185191616994,3
Tom Chambers,1988,0.146,19.3,25.7,8.4,2.9,1.1,0.7,0.40419100144844994,2
Robert Parish,1988,0.177,21.6,18.6,12.5,2.2,1.0,1.5,0.3303183048385466,3
Moses Malone,1988,0.178,21.2,20.2,11.8,1.4,1.0,1.2,0.27397899933483894,0
Terry Cummings,1988,0.131,19.7,22.9,8.1,2.5,1.3,0.9,0.23665804414769678,3
Dale Ellis,1988,0.163,19.7,27.5,4.2,2.0,1.3,0.3,0.21051367741159013,3
Terry Porter,1988,0.142,17.7,17.7,4.5,9.5,1.8,0.1,0.2052440959977642,0
Ron Harper,1988,0.171,19.8,18.6,5.0,5.3,2.3,0.9,0.20393661244893307,0
Alex English,1988,0.11,19.0,26.5,4.0,4.7,0.8,0.1,0.20190265997369647,0
Mark Price,1988,0.199,20.6,18.9,3.0,8.4,1.5,0.1,0.20091901388296257,3
Roy Tarpley,1988,0.166,22.2,17.3,11.5,0.9,1.5,1.6,0.19282887404476057,0
Kevin McHale,1988,0.168,20.3,22.5,8.2,2.2,0.3,1.2,0.17668625932515153,0
Alvin Robertson,1988,0.093,17.2,17.3,5.9,6.0,3.0,0.6,0.15845544845636678,0
Larry Nance,1988,0.197,19.9,17.2,8.0,2.2,0.8,2.8,0.1519186709157148,0
Mark Jackson,1988,0.14,18.3,16.9,4.7,8.6,1.9,0.1,0.14987911860138822,0
Larry Bird,1988,0.129,19.8,19.3,6.2,4.8,1.0,0.8,0.11440449629187137,0
Isiah Thomas,1988,0.115,17.1,18.2,3.4,8.3,1.7,0.3,0.11128636688311316,0
James Worthy,1988,0.158,19.0,20.5,6.0,3.6,1.3,0.7,0.11115150548323785,0
Brad Daugherty,1988,0.164,18.5,18.9,9.2,3.7,0.8,0.5,0.10767655318126486,0
Michael Jordan,1989,0.285,31.2,33.6,6.9,6.3,2.8,0.7,0.9971202867688284,1
Hakeem Olajuwon,1989,0.173,24.1,24.3,14.0,2.9,2.1,4.6,0.98815180023318,2
Patrick Ewing,1989,0.205,25.8,28.6,10.9,2.2,1.0,4.0,0.98005022586412,1
Karl Malone,1989,0.245,27.2,31.0,11.1,2.8,1.5,0.6,0.9671322154960783,1
Magic Johnson,1989,0.27,26.6,22.3,6.6,11.5,1.7,0.4,0.9551048033528279,1
Charles Barkley,1989,0.269,27.1,25.2,11.5,3.9,1.9,0.6,0.9306607401998026,1
Larry Bird,1989,0.154,21.9,24.3,9.5,7.5,1.4,0.8,0.8633064454933763,2
John Stockton,1989,0.238,23.9,17.2,2.6,14.5,2.7,0.2,0.8443701645024793,2
Kevin Johnson,1989,0.2,22.8,22.5,3.6,11.4,1.3,0.2,0.7586677671384087,2
Clyde Drexler,1989,0.208,22.2,23.3,6.9,5.9,2.0,0.7,0.6991885877013692,3
Dominique Wilkins,1989,0.184,24.6,26.7,6.5,2.5,1.6,0.6,0.5813929018653661,0
Ron Harper,1989,0.138,20.2,22.8,5.9,5.2,2.3,1.2,0.5277897308499518,0
Chris Mullin,1989,0.174,22.7,25.1,5.9,4.1,1.6,0.6,0.508813101376294,3
Tom Chambers,1989,0.176,20.9,27.2,7.0,2.3,1.1,0.6,0.4292454531717088,2
Fat Lever,1989,0.149,19.9,18.3,9.3,6.5,2.1,0.2,0.37586017774695113,0
Mark Price,1989,0.179,21.1,19.6,3.4,9.1,1.6,0.1,0.31475789580734465,0
Kevin McHale,1989,0.195,21.8,20.9,8.3,2.1,0.4,1.9,0.2319698498905157,0
Terry Porter,1989,0.202,20.0,17.6,3.4,9.1,1.9,0.1,0.23014385710190113,0
Terry Cummings,1989,0.149,19.6,22.4,8.4,2.7,1.4,0.6,0.22758005211401935,0
Reggie Miller,1989,0.182,20.8,24.6,3.6,3.8,1.3,0.2,0.18930431267426473,0
Roy Tarpley,1989,0.103,18.0,16.8,13.1,1.5,1.8,1.6,0.17300572323703783,0
Isiah Thomas,1989,0.107,17.3,18.4,3.8,9.4,1.7,0.2,0.17160551197250226,0
Derek Harper,1989,0.158,19.8,18.0,3.0,7.4,2.3,0.3,0.15578887873919908,0
James Worthy,1989,0.172,19.8,21.1,6.0,3.6,1.2,0.6,0.1336900403947976,3
Scottie Pippen,1989,0.087,16.3,16.5,6.7,5.4,2.6,1.2,0.12821891280685135,0
Moses Malone,1989,0.134,20.2,18.9,10.0,1.6,0.6,1.0,0.08251870535521741,0
Larry Nance,1989,0.152,19.1,16.3,8.3,2.6,0.9,2.0,0.07763540525065589,0
John Williams,1989,0.101,17.6,18.2,7.6,4.7,1.2,0.5,0.07587045054572086,0
Bernard King,1989,0.099,18.8,22.4,4.9,4.6,0.6,0.1,0.07463715378460967,0
Tony Campbell,1989,0.081,17.1,23.2,5.5,2.6,1.4,0.4,0.07399821623319203,0
Michael Jordan,1990,0.321,31.6,31.5,6.0,5.5,2.7,1.0,0.9936611323350572,1
David Robinson,1990,0.264,27.4,25.6,13.0,2.5,1.5,3.9,0.9879045484336875,1
Hakeem Olajuwon,1990,0.201,24.3,21.2,13.8,2.3,2.2,3.9,0.9546185853301791,3
Charles Barkley,1990,0.258,28.9,27.6,10.1,4.2,1.6,0.5,0.9510147583315492,1
Karl Malone,1990,0.225,24.8,29.0,11.8,3.3,1.1,1.0,0.9430685178475245,1
Patrick Ewing,1990,0.155,23.7,26.6,11.2,3.0,1.0,3.2,0.9388875779104915,2
Michael Adams,1990,0.128,22.3,26.5,3.9,10.5,2.2,0.1,0.8915406932487205,0
Magic Johnson,1990,0.251,25.1,19.4,7.0,12.5,1.3,0.2,0.8898365647286148,1
John Stockton,1990,0.217,23.4,17.2,2.9,14.2,2.9,0.2,0.8349150421180159,3
Kevin Johnson,1990,0.22,23.7,22.2,3.5,10.1,2.1,0.1,0.7609916398675294,2
Tim Hardaway,1990,0.148,20.9,22.9,4.0,9.7,2.6,0.1,0.7234094394558308,0
Dominique Wilkins,1990,0.177,23.5,25.9,9.0,3.3,1.5,0.8,0.7208271007567387,2
Chris Mullin,1990,0.176,21.4,25.7,5.4,4.0,2.1,0.8,0.5730165951921661,2
Clyde Drexler,1990,0.209,22.1,21.5,6.7,6.0,1.8,0.7,0.5492087185357826,2
Larry Bird,1990,0.14,19.7,19.4,8.5,7.2,1.8,1.0,0.5276962185324741,0
Roy Tarpley,1990,0.165,23.6,20.4,11.0,2.4,1.2,1.8,0.4987659056316832,0
Scottie Pippen,1990,0.179,20.6,17.8,7.3,6.2,2.4,1.1,0.4186219322204944,0
Mark Price,1990,0.167,21.7,16.9,2.8,10.4,2.6,0.1,0.3573794898290314,0
Bernard King,1990,0.07,19.1,28.4,5.0,4.6,0.9,0.3,0.35622253598194015,3
Brad Daugherty,1990,0.147,19.9,21.6,10.9,3.3,1.0,0.6,0.3153886980583719,0
Larry Nance,1990,0.16,20.6,19.2,8.6,3.0,0.8,2.5,0.27813181792541336,0
Terry Porter,1990,0.235,21.7,17.0,3.5,8.0,2.0,0.1,0.20693165828345325,0
Orlando Woolridge,1990,0.102,19.5,25.1,6.8,2.2,1.3,0.4,0.18783443407630723,0
Mitch Richmond,1990,0.113,17.8,23.9,5.9,3.1,1.6,0.4,0.15517415246053545,0
Hersey Hawkins,1990,0.151,19.4,22.1,3.9,3.7,2.2,0.5,0.15301443773762619,0
Derek Harper,1990,0.127,19.4,19.7,3.0,7.1,1.9,0.2,0.14104950955701484,0
Reggie Miller,1990,0.202,21.2,22.6,3.4,4.0,1.3,0.2,0.13517917343670416,0
Charles Smith,1990,0.131,17.6,20.0,8.2,1.8,1.1,2.0,0.12682241596496588,0
Sherman Douglas,1990,0.1,18.0,18.5,2.9,8.5,1.7,0.1,0.10722960260076345,0
Pooh Richardson,1990,0.089,18.1,17.1,3.5,9.0,1.6,0.2,0.09989778748701346,0
David Robinson,1991,0.26,27.5,23.2,12.2,2.7,2.3,4.5,0.9882970161188082,1
Michael Jordan,1991,0.274,27.7,30.1,6.4,6.1,2.3,0.9,0.9818158809880366,1
Hakeem Olajuwon,1991,0.178,23.7,21.6,12.1,2.2,1.8,4.3,0.9251898926906473,0
Karl Malone,1991,0.237,25.4,28.0,11.2,3.0,1.3,0.6,0.9051992995600536,1
Clyde Drexler,1991,0.223,23.6,25.0,6.6,6.7,1.8,0.9,0.8573641228357965,1
Patrick Ewing,1991,0.198,22.8,24.0,11.2,1.9,1.1,3.0,0.8305939010069431,2
Charles Barkley,1991,0.205,24.5,23.1,11.1,4.1,1.8,0.6,0.7878275965797856,2
John Stockton,1991,0.215,22.8,15.8,3.3,13.7,3.0,0.3,0.7648456743564084,2
Scottie Pippen,1991,0.192,21.5,21.0,7.7,7.0,1.9,1.1,0.7006671373815592,2
Dominique Wilkins,1991,0.152,22.2,28.1,7.0,3.8,1.2,0.6,0.6585369137414886,0
Tim Hardaway,1991,0.132,19.1,23.4,3.8,10.0,2.0,0.2,0.6385781896052792,2
Brad Daugherty,1991,0.213,23.0,21.5,10.4,3.6,0.9,1.1,0.5279167047580342,3
Larry Bird,1991,0.159,21.0,20.2,9.6,6.8,0.9,0.7,0.5010410290707747,0
Pervis Ellison,1991,0.131,19.9,20.0,11.2,2.9,0.9,2.7,0.47003268331175696,0
