Player,Season,VORP,DWS,PER,FTA,TOV,PTS,AllNBA_pred_proba,Class
Michael Jordan,1988,11.4,5.2,31.1,9.8,3.6,32.5,0.9999647738651549,1
Karl Malone,1988,5.9,6.6,24.4,11.5,3.6,29.1,0.9970992668003446,1
Hakeem Olajuwon,1988,5.7,7.8,25.2,8.0,3.4,24.8,0.9941590464938008,1
Magic Johnson,1988,8.3,4.0,26.9,7.3,4.1,22.5,0.9906768653367144,1
Charles Barkley,1988,7.4,2.9,27.0,10.1,3.2,25.8,0.9839670524571366,1
John Stockton,1988,8.3,5.8,22.9,5.5,3.8,17.1,0.9798783033099869,2
Clyde Drexler,1988,6.6,3.8,23.6,7.0,3.2,27.2,0.9706270727685572,0
Patrick Ewing,1988,4.8,4.7,22.1,6.1,3.3,22.7,0.8291942453463487,2
Chris Mullin,1988,4.7,3.1,21.9,6.7,3.6,26.5,0.8073097125972544,2
Kevin Johnson,1988,5.0,3.5,20.5,7.1,4.0,20.4,0.6749590231619096,2
Ron Harper,1988,4.8,5.1,19.8,5.2,2.8,18.6,0.6193921426383105,0
Dominique Wilkins,1988,4.1,2.9,21.8,6.6,2.3,26.2,0.6003354509471558,3
Fat Lever,1988,5.0,4.2,20.6,4.8,2.2,19.8,0.5479718968333676,0
Tom Chambers,1988,2.6,4.1,19.3,7.4,2.9,25.7,0.47819461023045945,2
Dale Ellis,1988,3.8,1.6,19.7,5.6,2.7,27.5,0.35331659798459797,3
Moses Malone,1988,2.7,3.9,21.2,8.8,3.0,20.2,0.32453743417518294,0
Mark Price,1988,4.5,3.3,20.6,3.9,2.8,18.9,0.30479404577343155,3
Robert Parish,1988,3.8,3.6,21.6,5.1,2.5,18.6,0.2648754152738637,3
Brad Daugherty,1988,2.9,4.6,18.5,6.7,2.9,18.9,0.2569311326874804,0
Larry Nance,1988,3.8,4.7,19.9,4.6,1.6,17.2,0.23586821995116994,0
Terry Cummings,1988,2.3,3.5,19.7,5.8,2.5,22.9,0.1842405224137456,3
Isiah Thomas,1988,3.4,3.9,17.1,4.4,3.7,18.2,0.18373797442059264,0
James Worthy,1988,3.7,3.1,19.0,4.0,2.2,20.5,0.17102535038917985,0
Kevin McHale,1988,3.0,1.9,20.3,6.8,2.5,22.5,0.1431376017134939,0
Derek Harper,1988,3.9,2.8,18.3,3.5,2.5,17.3,0.09243884064054943,0
Alex English,1988,2.1,1.7,19.0,4.6,2.4,26.5,0.09185188414867491,0
Michael Adams,1988,3.4,2.9,17.5,5.1,2.3,18.5,0.09142380030449604,0
Terry Porter,1988,3.3,2.6,17.7,4.0,3.1,17.7,0.06974187494592632,0
Doc Rivers,1988,4.2,3.2,18.4,3.8,2.1,13.6,0.06917887092069637,0
John Williams,1988,4.0,3.5,18.8,3.5,1.9,13.7,0.06901764037711541,0
Michael Jordan,1989,10.6,4.3,31.2,8.5,3.0,33.6,0.9998766371660839,1
Karl Malone,1989,6.6,5.4,27.2,11.1,3.7,31.0,0.9981922633350945,1
Hakeem Olajuwon,1989,6.2,8.7,24.1,6.5,3.9,24.3,0.9968286192745598,2
Charles Barkley,1989,8.0,4.2,27.1,9.4,3.1,25.2,0.9939234150307089,1
Magic Johnson,1989,8.9,3.8,26.6,8.1,3.7,22.3,0.99264151346046,1
Patrick Ewing,1989,6.0,5.3,25.8,7.9,3.4,28.6,0.9906227797397327,1
John Stockton,1989,8.0,4.0,23.9,5.5,3.5,17.2,0.9340153645365991,2
Clyde Drexler,1989,6.3,4.3,22.2,5.9,2.6,23.3,0.911575238616653,3
Larry Bird,1989,5.5,4.1,21.9,4.6,3.2,24.3,0.8560092801377722,2
Dominique Wilkins,1989,5.4,1.8,24.6,7.1,2.2,26.7,0.7643775628038891,0
Kevin Johnson,1989,4.9,2.6,22.8,8.1,3.6,22.5,0.6941907014366702,2
Tom Chambers,1989,3.3,3.7,20.9,8.0,2.7,27.2,0.6658514059142087,2
Chris Mullin,1989,5.0,1.3,22.7,7.3,3.1,25.1,0.5865004379025425,3
Terry Porter,1989,5.4,3.8,20.0,5.9,3.1,17.6,0.5436197246419837,0
Reggie Miller,1989,4.8,1.3,20.8,7.6,2.7,24.6,0.45101233924508577,0
Fat Lever,1989,4.9,4.2,19.9,4.3,2.0,18.3,0.406388530686059,0
Derek Harper,1989,5.0,3.6,19.8,3.8,2.5,18.0,0.34277690074758405,0
Isiah Thomas,1989,3.7,4.6,17.3,4.7,4.0,18.4,0.33964561951883165,0
Mark Price,1989,4.9,2.5,21.1,4.6,2.9,19.6,0.33495762467569457,0
Kevin McHale,1989,3.8,3.3,21.8,5.4,2.2,20.9,0.3137019988317433,0
Terry Cummings,1989,2.7,4.4,19.6,5.4,2.5,22.4,0.30476502668678734,0
James Worthy,1989,4.3,3.1,19.8,4.0,2.0,21.1,0.27127958706270827,3
Scottie Pippen,1989,3.0,4.3,16.3,3.6,3.4,16.5,0.10279426824681437,0
Hot Rod Williams,1989,2.9,4.1,19.0,5.4,1.7,16.8,0.09676210715176997,0
Alvin Robertson,1989,3.7,3.9,18.9,3.3,2.7,14.2,0.09381477515735331,0
Ron Harper,1989,2.3,1.7,20.2,6.6,2.9,22.8,0.09244305220632769,0
Tony Campbell,1989,1.8,2.5,17.1,6.9,3.1,23.2,0.0854767491807549,0
Jeff Hornacek,1989,3.8,2.8,19.6,3.0,1.9,17.6,0.08383097301797589,0
Jerome Kersey,1989,2.7,4.7,15.7,4.8,1.8,16.0,0.06753940694488773,0
Bill Laimbeer,1989,3.6,5.4,15.8,2.4,1.2,12.1,0.05771468112530563,0
Michael Jordan,1990,10.8,5.4,31.6,8.2,2.5,31.5,0.9999044100815019,1
David Robinson,1990,8.2,7.6,27.4,9.5,3.3,25.6,0.9994141028190656,1
Karl Malone,1990,6.2,5.6,24.8,10.8,3.0,29.0,0.994632803467758,1
Charles Barkley,1990,7.0,3.1,28.9,9.8,3.1,27.6,0.9883675424423949,1
Magic Johnson,1990,8.1,4.2,25.1,7.3,4.0,19.4,0.9781454551434259,1
Patrick Ewing,1990,4.9,5.6,23.7,7.7,3.6,26.6,0.9686628545529263,2
John Stockton,1990,8.1,4.7,23.4,5.3,3.6,17.2,0.9560608635214468,3
Clyde Drexler,1990,6.4,4.5,22.1,6.4,2.8,21.5,0.9086408711918482,2
Kevin Johnson,1990,6.0,3.3,23.7,8.0,3.5,22.2,0.8855922569407912,2
Dominique Wilkins,1990,5.4,2.8,23.5,7.1,2.5,25.9,0.8282837300189693,2
Hakeem Olajuwon,1990,4.3,5.7,24.3,4.9,3.1,21.2,0.82603717314884,3
Chris Mullin,1990,5.6,2.4,21.4,7.1,3.0,25.7,0.7928323358176406,2
Scottie Pippen,1990,5.9,5.4,20.6,4.1,2.8,17.8,0.7792462010552498,0
Terry Porter,1990,6.2,3.9,21.7,4.2,2.3,17.0,0.6076147171566927,0
Tim Hardaway,1990,5.2,2.5,20.9,4.6,3.3,22.9,0.5642545338300801,0
Michael Adams,1990,4.3,0.4,22.3,8.0,3.6,26.5,0.44230859316304694,0
Hersey Hawkins,1990,4.1,3.3,19.4,6.9,2.7,22.1,0.4338548004272735,0
Brad Daugherty,1990,3.1,3.6,19.9,7.6,2.8,21.6,0.32511482656230206,0
Larry Nance,1990,4.2,3.6,20.6,4.1,1.6,19.2,0.24283457968033023,0
Larry Bird,1990,3.8,3.6,19.7,3.1,3.1,19.4,0.23273011814407582,0
Reggie Miller,1990,4.6,0.8,21.2,7.3,2.0,22.6,0.22762859273805064,0
Bernard King,1990,1.8,1.6,19.1,7.6,4.0,28.4,0.2128004300461459,3
Joe Dumars,1990,3.6,3.1,18.0,5.2,2.4,20.4,0.17284231176570475,3
James Worthy,1990,3.4,3.5,18.1,3.4,1.6,21.4,0.1471261128557459,3
Alvin Robertson,1990,4.2,4.3,18.6,3.2,2.6,13.6,0.13484027239307791,0
Otis Thorpe,1990,2.5,4.5,17.2,5.9,2.6,17.5,0.11549528516853402,0
Derek Harper,1990,3.7,2.0,19.4,5.1,2.3,19.7,0.1040171619690549,0
Mitch Richmond,1990,2.3,1.9,17.8,6.0,3.0,23.9,0.09148789974523548,0
Charles Smith,1990,2.1,3.6,17.6,6.5,2.2,20.0,0.08531948262556074,0
Kenny Smith,1990,3.3,2.8,18.3,4.4,3.0,17.7,0.08509461631981728,0
Michael Jordan,1991,9.2,5.6,27.7,7.4,2.5,30.1,0.9993633505945752,1
David Robinson,1991,7.4,6.9,27.5,8.3,2.7,23.2,0.9965027738005952,1
Karl Malone,1991,5.9,5.2,25.4,10.7,3.1,28.0,0.9906428638227328,1
Clyde Drexler,1991,7.4,4.5,23.6,6.6,3.2,25.0,0.9824134532496411,1
Patrick Ewing,1991,5.5,6.9,22.8,6.2,2.5,24.0,0.970790324505831,2
Scottie Pippen,1991,6.4,5.5,21.5,5.3,3.1,21.0,0.9345818834065514,2
Charles Barkley,1991,6.1,3.7,24.5,8.7,3.1,23.1,0.9309859940703907,2
John Stockton,1991,8.1,4.6,22.8,4.5,3.5,15.8,0.9270317330603842,2
Hakeem Olajuwon,1991,4.6,5.6,23.7,6.1,2.7,21.6,0.8544316348873904,0
Brad Daugherty,1991,4.5,3.5,23.0,7.3,2.5,21.5,0.6122257833253097,3
Chris Mullin,1991,4.8,2.7,19.9,5.2,2.5,25.6,0.5807147331816481,1
Danny Manning,1991,4.6,4.5,19.7,4.7,2.6,19.3,0.49472199193561034,0
Jeff Hornacek,1991,4.9,3.8,18.9,3.9,2.1,20.1,0.39722187833894673,0
Larry Nance,1991,5.2,4.0,21.4,4.0,1.1,17.0,0.3419732183266304,0
Horace Grant,1991,5.2,5.0,20.6,3.9,1.2,14.2,0.33696385872351703,0
Kevin Johnson,1991,4.0,2.9,19.9,7.1,3.5,19.7,0.3295666658590646,3
