Player,Season,VORP,DWS,PER,FTA,TOV,PTS,AllNBA_pred_proba,Class
Michael Jordan,1988,11.4,5.2,31.1,9.8,3.6,32.5,1.0,1
Charles Barkley,1988,7.4,2.9,27.0,10.1,3.2,25.8,0.99,1
Karl Malone,1988,5.9,6.6,24.4,11.5,3.6,29.1,0.98,1
Hakeem Olajuwon,1988,5.7,7.8,25.2,8.0,3.4,24.8,0.98,1
Magic Johnson,1988,8.3,4.0,26.9,7.3,4.1,22.5,0.97,1
Patrick Ewing,1988,4.8,4.7,22.1,6.1,3.3,22.7,0.95,2
Chris Mullin,1988,4.7,3.1,21.9,6.7,3.6,26.5,0.93,2
John Stockton,1988,8.3,5.8,22.9,5.5,3.8,17.1,0.93,2
Dominique Wilkins,1988,4.1,2.9,21.8,6.6,2.3,26.2,0.82,3
Dale Ellis,1988,3.8,1.6,19.7,5.6,2.7,27.5,0.81,3
Robert Parish,1988,3.8,3.6,21.6,5.1,2.5,18.6,0.78,3
Mark Price,1988,4.5,3.3,20.6,3.9,2.8,18.9,0.78,3
Terry Cummings,1988,2.3,3.5,19.7,5.8,2.5,22.9,0.72,3
Tom Chambers,1988,2.6,4.1,19.3,7.4,2.9,25.7,0.71,2
Kevin Johnson,1988,5.0,3.5,20.5,7.1,4.0,20.4,0.69,2
Clyde Drexler,1988,6.6,3.8,23.6,7.0,3.2,27.2,0.41,0
Ron Harper,1988,4.8,5.1,19.8,5.2,2.8,18.6,0.2,0
Moses Malone,1988,2.7,3.9,21.2,8.8,3.0,20.2,0.18,0
Fat Lever,1988,5.0,4.2,20.6,4.8,2.2,19.8,0.08,0
Kevin McHale,1988,3.0,1.9,20.3,6.8,2.5,22.5,0.07,0
Mark Eaton,1988,1.9,6.5,10.6,2.4,1.7,6.2,0.07,0
Alvin Robertson,1988,2.6,3.1,17.2,3.9,3.6,17.3,0.07,0
Brad Daugherty,1988,2.9,4.6,18.5,6.7,2.9,18.9,0.06,0
Derek Harper,1988,3.9,2.8,18.3,3.5,2.5,17.3,0.05,0
Thurl Bailey,1988,1.2,4.1,15.6,5.4,2.5,19.5,0.05,0
Alex English,1988,2.1,1.7,19.0,4.6,2.4,26.5,0.03,0
Kelly Tripucka,1988,1.3,0.9,17.7,7.2,3.3,22.6,0.03,0
James Worthy,1988,3.7,3.1,19.0,4.0,2.2,20.5,0.03,0
Eddie Johnson,1988,2.1,1.9,19.4,3.6,1.7,21.5,0.02,0
John Williams,1988,4.0,3.5,18.8,3.5,1.9,13.7,0.02,0
Patrick Ewing,1989,6.0,5.3,25.8,7.9,3.4,28.6,1.0,1
Karl Malone,1989,6.6,5.4,27.2,11.1,3.7,31.0,1.0,1
Charles Barkley,1989,8.0,4.2,27.1,9.4,3.1,25.2,1.0,1
Michael Jordan,1989,10.6,4.3,31.2,8.5,3.0,33.6,0.99,1
John Stockton,1989,8.0,4.0,23.9,5.5,3.5,17.2,0.99,2
Hakeem Olajuwon,1989,6.2,8.7,24.1,6.5,3.9,24.3,0.97,2
Clyde Drexler,1989,6.3,4.3,22.2,5.9,2.6,23.3,0.95,3
Magic Johnson,1989,8.9,3.8,26.6,8.1,3.7,22.3,0.94,1
Kevin Johnson,1989,4.9,2.6,22.8,8.1,3.6,22.5,0.93,2
Larry Bird,1989,5.5,4.1,21.9,4.6,3.2,24.3,0.93,2
Tom Chambers,1989,3.3,3.7,20.9,8.0,2.7,27.2,0.87,2
Chris Mullin,1989,5.0,1.3,22.7,7.3,3.1,25.1,0.79,3
James Worthy,1989,4.3,3.1,19.8,4.0,2.0,21.1,0.69,3
Joe Dumars,1989,2.7,3.0,17.2,4.4,1.9,17.8,0.66,3
Terry Cummings,1989,2.7,4.4,19.6,5.4,2.5,22.4,0.22,0
Dominique Wilkins,1989,5.4,1.8,24.6,7.1,2.2,26.7,0.21,0
Reggie Miller,1989,4.8,1.3,20.8,7.6,2.7,24.6,0.21,0
Mark Price,1989,4.9,2.5,21.1,4.6,2.9,19.6,0.18,0
Kevin McHale,1989,3.8,3.3,21.8,5.4,2.2,20.9,0.18,0
Tony Campbell,1989,1.8,2.5,17.1,6.9,3.1,23.2,0.13,0
Fat Lever,1989,4.9,4.2,19.9,4.3,2.0,18.3,0.1,0
Terry Porter,1989,5.4,3.8,20.0,5.9,3.1,17.6,0.07,0
Derek Harper,1989,5.0,3.6,19.8,3.8,2.5,18.0,0.05,0
Jeff Malone,1989,1.3,0.8,18.5,3.9,1.7,24.3,0.04,0
Ron Harper,1989,2.3,1.7,20.2,6.6,2.9,22.8,0.04,0
Jerome Kersey,1989,2.7,4.7,15.7,4.8,1.8,16.0,0.04,0
Dale Ellis,1989,2.3,1.0,19.0,4.3,2.2,23.5,0.02,0
Jeff Hornacek,1989,3.8,2.8,19.6,3.0,1.9,17.6,0.02,0
Reggie Theus,1989,0.5,-0.1,15.9,5.8,3.0,18.9,0.02,0
