Player,Season,VORP,DWS,PER,FTA,TOV,DRB,AllNBA_pred_proba,Class
Magic Johnson,1988,8.3,4.0,26.9,7.3,4.1,6.4,0.99978834,1
Michael Jordan,1988,11.4,5.2,31.1,9.8,3.6,6.2,0.9995041,1
John Stockton,1988,8.3,5.8,22.9,5.5,3.8,2.0,0.9994221,2
Charles Barkley,1988,7.4,2.9,27.0,10.1,3.2,7.4,0.99905497,1
Karl Malone,1988,5.9,6.6,24.4,11.5,3.6,7.4,0.9967906,1
Hakeem Olajuwon,1988,5.7,7.8,25.2,8.0,3.4,9.4,0.99627256,1
Chris Mullin,1988,4.7,3.1,21.9,6.7,3.6,4.0,0.9924495,2
Patrick Ewing,1988,4.8,4.7,22.1,6.1,3.3,6.6,0.97162724,2
Kevin Johnson,1988,5.0,3.5,20.5,7.1,4.0,3.6,0.94316524,2
Robert Parish,1988,3.8,3.6,21.6,5.1,2.5,8.2,0.8876345,3
Terry Cummings,1988,2.3,3.5,19.7,5.8,2.5,4.6,0.8405564,3
Dale Ellis,1988,3.8,1.6,19.7,5.6,2.7,2.3,0.81828976,3
Mark Price,1988,4.5,3.3,20.6,3.9,2.8,2.4,0.80786705,3
Dominique Wilkins,1988,4.1,2.9,21.8,6.6,2.3,3.7,0.7380384,3
Tom Chambers,1988,2.6,4.1,19.3,7.4,2.9,6.7,0.6509657,2
Clyde Drexler,1988,6.6,3.8,23.6,7.0,3.2,4.2,0.24164312,0
Ron Harper,1988,4.8,5.1,19.8,5.2,2.8,3.5,0.13373218,0
Moses Malone,1988,2.7,3.9,21.2,8.8,3.0,7.0,0.100268945,0
Alvin Robertson,1988,2.6,3.1,17.2,3.9,3.6,3.5,0.086737074,0
James Worthy,1988,3.7,3.1,19.0,4.0,2.2,4.0,0.08107087,0
Benoit Benjamin,1988,1.5,2.9,17.4,5.4,3.0,6.7,0.049816042,0
Brad Daugherty,1988,2.9,4.6,18.5,6.7,2.9,7.1,0.038758487,0
Fat Lever,1988,5.0,4.2,20.6,4.8,2.2,6.7,0.01882133,0
Adrian Dantley,1988,1.6,1.9,17.4,7.8,2.2,2.7,0.015611242,0
Joe Dumars,1988,2.4,2.2,16.8,4.4,2.6,1.7,0.014124406,0
Larry Nance,1988,3.8,4.7,19.9,4.6,1.6,5.8,0.009476189,0
John Williams,1988,4.0,3.5,18.8,3.5,1.9,5.1,0.007708782,0
Kevin McHale,1988,3.0,1.9,20.3,6.8,2.5,5.3,0.0069480515,0
Michael Adams,1988,3.4,2.9,17.5,5.1,2.3,2.8,0.005328163,0
Alex English,1988,2.1,1.7,19.0,4.6,2.4,2.2,0.0035913002,0
Charles Barkley,1989,8.0,4.2,27.1,9.4,3.1,6.9,0.99968493,1
John Stockton,1989,8.0,4.0,23.9,5.5,3.5,1.9,0.99939454,2
Patrick Ewing,1989,6.0,5.3,25.8,7.9,3.4,8.0,0.99928063,1
Karl Malone,1989,6.6,5.4,27.2,11.1,3.7,8.3,0.999137,1
Michael Jordan,1989,10.6,4.3,31.2,8.5,3.0,5.1,0.9990728,1
Magic Johnson,1989,8.9,3.8,26.6,8.1,3.7,5.0,0.9949308,1
Kevin Johnson,1989,4.9,2.6,22.8,8.1,3.6,3.1,0.9905759,2
Hakeem Olajuwon,1989,6.2,8.7,24.1,6.5,3.9,10.4,0.98829633,2
Larry Bird,1989,5.5,4.1,21.9,4.6,3.2,8.3,0.97030467,2
Clyde Drexler,1989,6.3,4.3,22.2,5.9,2.6,4.1,0.940165,3
Chris Mullin,1989,5.0,1.3,22.7,7.3,3.1,4.3,0.90665287,3
James Worthy,1989,4.3,3.1,19.8,4.0,2.0,4.0,0.81850195,3
Joe Dumars,1989,2.7,3.0,17.2,4.4,1.9,2.0,0.7456393,3
Tom Chambers,1989,3.3,3.7,20.9,8.0,2.7,5.6,0.72934,2
Dominique Wilkins,1989,5.4,1.8,24.6,7.1,2.2,3.8,0.2687544,0
Kevin McHale,1989,3.8,3.3,21.8,5.4,2.2,5.8,0.24797572,0
Reggie Miller,1989,4.8,1.3,20.8,7.6,2.7,2.4,0.10735844,0
Derek Harper,1989,5.0,3.6,19.8,3.8,2.5,2.3,0.079191566,0
Fat Lever,1989,4.9,4.2,19.9,4.3,2.0,6.4,0.074455954,0
Mark Price,1989,4.9,2.5,21.1,4.6,2.9,2.5,0.06858899,0
Terry Porter,1989,5.4,3.8,20.0,5.9,3.1,2.7,0.05181196,0
Jeff Hornacek,1989,3.8,2.8,19.6,3.0,1.9,3.4,0.049648233,0
Otis Thorpe,1989,2.0,4.1,16.1,5.4,2.8,5.8,0.043823972,0
Hot Rod Williams,1989,2.9,4.1,19.0,5.4,1.7,5.4,0.03367346,0
Ron Harper,1989,2.3,1.7,20.2,6.6,2.9,3.8,0.02726001,0
Benoit Benjamin,1989,2.1,3.7,16.7,4.5,2.6,7.1,0.019710498,0
Sam Perkins,1989,2.5,3.3,17.3,5.6,1.9,4.8,0.018199692,0
Alvin Robertson,1989,3.7,3.9,18.9,3.3,2.7,4.1,0.017265927,0
Bill Laimbeer,1989,3.6,5.4,15.8,2.4,1.2,7.6,0.010689688,0
Hersey Hawkins,1989,2.7,2.5,17.0,5.3,2.3,2.7,0.0095535815,0
Michael Jordan,1990,10.8,5.4,31.6,8.2,2.5,4.6,0.9997458,1
David Robinson,1990,8.2,7.6,27.4,9.5,3.3,8.9,0.99839133,1
Charles Barkley,1990,7.0,3.1,28.9,9.8,3.1,6.3,0.99796695,1
John Stockton,1990,8.1,4.7,23.4,5.3,3.6,2.3,0.9977095,3
Karl Malone,1990,6.2,5.6,24.8,10.8,3.0,8.9,0.99736744,1
Magic Johnson,1990,8.1,4.2,25.1,7.3,4.0,5.6,0.99731195,1
Kevin Johnson,1990,6.0,3.3,23.7,8.0,3.5,2.8,0.99525416,2
Patrick Ewing,1990,4.9,5.6,23.7,7.7,3.6,8.8,0.99025047,2
Joe Dumars,1990,3.6,3.1,18.0,5.2,2.4,1.6,0.9851011,3
Hakeem Olajuwon,1990,4.3,5.7,24.3,4.9,3.1,9.8,0.94779336,3
Chris Mullin,1990,5.6,2.4,21.4,7.1,3.0,3.7,0.946259,2
Clyde Drexler,1990,6.4,4.5,22.1,6.4,2.8,4.1,0.9102462,2
Dominique Wilkins,1990,5.4,2.8,23.5,7.1,2.5,5.8,0.8607548,2
James Worthy,1990,3.4,3.5,18.1,3.4,1.6,3.2,0.8151726,3
Bernard King,1990,1.8,1.6,19.1,7.6,4.0,3.2,0.7815352,3
Scottie Pippen,1990,5.9,5.4,20.6,4.1,2.8,5.3,0.25517547,0
Brad Daugherty,1990,3.1,3.6,19.9,7.6,2.8,8.6,0.15815467,0
Hersey Hawkins,1990,4.1,3.3,19.4,6.9,2.7,3.3,0.14528845,0
Terry Porter,1990,6.2,3.9,21.7,4.2,2.3,2.8,0.11918555,0
Tim Hardaway,1990,5.2,2.5,20.9,4.6,3.3,3.0,0.11798339,0
Derek Harper,1990,3.7,2.0,19.4,5.1,2.3,2.3,0.08980824,0
Michael Adams,1990,4.3,0.4,22.3,8.0,3.6,3.0,0.0569094,0
Larry Bird,1990,3.8,3.6,19.7,3.1,3.1,7.6,0.055989854,0
Sherman Douglas,1990,2.5,1.9,18.0,5.7,3.7,1.8,0.039554473,0
Larry Nance,1990,4.2,3.6,20.6,4.1,1.6,6.1,0.029179564,0
Charles Smith,1990,2.1,3.6,17.6,6.5,2.2,5.3,0.021169338,0
Jerry Reynolds,1990,2.0,1.9,17.8,5.2,2.2,2.6,0.01599726,0
Vlade Divac,1990,2.5,4.8,17.7,3.4,1.8,5.6,0.015613322,0
Jeff Hornacek,1990,3.7,2.8,17.8,2.8,1.6,3.1,0.014002355,0
Ricky Pierce,1990,2.4,1.2,21.0,6.0,1.9,1.6,0.012820007,0
David Robinson,1991,7.4,6.9,27.5,8.3,2.7,8.4,0.99844676,1
Karl Malone,1991,5.9,5.2,25.4,10.7,3.1,8.4,0.99843913,1
Michael Jordan,1991,9.2,5.6,27.7,7.4,2.5,5.3,0.9979578,1
Charles Barkley,1991,6.1,3.7,24.5,8.7,3.1,7.5,0.99767333,2
John Stockton,1991,8.1,4.6,22.8,4.5,3.5,2.5,0.9972652,2
Clyde Drexler,1991,7.4,4.5,23.6,6.6,3.2,4.4,0.9527875,1
Mark Price,1991,4.2,1.6,22.7,4.0,2.2,1.9,0.94685066,3
Dennis Rodman,1991,4.0,7.0,17.0,1.7,1.7,12.3,0.9405098,3
Kevin Johnson,1991,4.0,2.9,19.9,7.1,3.5,3.0,0.9079839,3
Brad Daugherty,1991,4.5,3.5,23.0,7.3,2.5,7.8,0.90150476,3
Scottie Pippen,1991,6.4,5.5,21.5,5.3,3.1,5.4,0.9012505,2
Tim Hardaway,1991,4.1,2.0,19.1,4.8,3.3,2.8,0.8954508,2
Kevin Willis,1991,1.7,4.1,19.7,4.5,2.4,10.4,0.8399371,3
