Player,Season,WS/48,PER,PTS,TRB,AST,STL,BLK,AllNBA_pred_proba,Class
Magic Johnson,1988,0.267,26.9,22.5,7.9,12.8,1.8,0.3,0.9998596,1
Karl Malone,1988,0.233,24.4,29.1,10.7,2.7,1.8,0.9,0.9996482,1
John Stockton,1988,0.236,22.9,17.1,3.0,13.6,3.2,0.2,0.9983491,2
Michael Jordan,1988,0.292,31.1,32.5,8.0,8.0,2.9,0.8,0.9981104,1
Dale Ellis,1988,0.163,19.7,27.5,4.2,2.0,1.3,0.3,0.98662657,3
Hakeem Olajuwon,1988,0.197,25.2,24.8,13.5,1.8,2.6,3.4,0.9791262,1
Kevin Johnson,1988,0.184,20.5,20.4,4.2,12.2,1.7,0.3,0.973685,2
Chris Mullin,1988,0.165,21.9,26.5,5.9,5.1,2.1,0.5,0.9639489,2
Tom Chambers,1988,0.146,19.3,25.7,8.4,2.9,1.1,0.7,0.96072435,2
Mark Price,1988,0.199,20.6,18.9,3.0,8.4,1.5,0.1,0.95683306,3
Charles Barkley,1988,0.25,27.0,25.8,12.5,4.1,1.6,0.8,0.90442187,1
Dominique Wilkins,1988,0.166,21.8,26.2,6.9,2.6,1.5,0.7,0.8958909,3
Robert Parish,1988,0.177,21.6,18.6,12.5,2.2,1.0,1.5,0.8900187,3
Terry Cummings,1988,0.131,19.7,22.9,8.1,2.5,1.3,0.9,0.86595535,3
Patrick Ewing,1988,0.181,22.1,22.7,9.3,2.4,1.5,3.5,0.86556524,2
Clyde Drexler,1988,0.197,23.6,27.2,7.9,5.8,2.7,0.7,0.27344555,0
Kevin McHale,1988,0.168,20.3,22.5,8.2,2.2,0.3,1.2,0.13922288,0
Moses Malone,1988,0.178,21.2,20.2,11.8,1.4,1.0,1.2,0.0972776,0
Terry Porter,1988,0.142,17.7,17.7,4.5,9.5,1.8,0.1,0.059583016,0
Fat Lever,1988,0.161,20.6,19.8,9.3,7.9,2.7,0.3,0.046599656,0
