Player,Season,WS/48,PER,PTS,TRB,AST,STL,BLK,Rookie,RookieNBA_pred_proba,Class
Willie Anderson,1988,0.085,16.6,18.6,5.1,4.6,1.9,0.8,1,0.9709460472792205,1
Mitch Richmond,1988,0.098,17.2,22.0,5.9,4.2,1.0,0.2,1,0.9693204904274055,1
Rik Smits,1988,0.101,15.6,11.7,6.1,0.9,0.5,1.8,1,0.9261706875532542,1
Charles Smith,1988,0.089,15.6,16.3,6.5,1.5,1.0,1.3,1,0.9239915064756655,1
Hersey Hawkins,1988,0.075,14.2,15.1,2.8,3.0,1.5,0.5,1,0.8644816152289879,1
Grant Long,1988,0.091,13.7,11.9,6.7,1.8,1.5,0.6,1,0.6157697308896396,0
Danny Manning,1988,0.034,13.4,16.7,6.6,3.1,1.7,1.0,1,0.5582329062401273,0
Ricky Berry,1988,0.083,13.1,11.0,3.1,1.3,0.6,0.3,1,0.5376433333336991,0
Vernon Maxwell,1988,0.035,12.1,11.7,2.6,3.8,1.1,0.1,1,0.5315350438061124,0
Kevin Edwards,1988,-0.003,12.6,13.8,3.3,4.4,1.8,0.3,1,0.5067630906626407,0
Gary Grant,1988,-0.009,14.1,11.9,3.4,7.1,2.0,0.1,1,0.45736346249874943,0
Chris Morris,1988,0.064,15.0,14.1,5.2,1.6,1.3,0.8,1,0.42949015362235193,0
Rod Strickland,1988,0.131,18.0,8.9,2.0,3.9,1.2,0.0,1,0.35090833989256487,0
Derrick Chievous,1988,0.05,11.6,9.3,3.2,1.0,0.6,0.1,1,0.32154770860037524,0
Brian Shaw,1988,0.046,12.2,8.6,4.6,5.8,1.0,0.3,1,0.3165804911713516,0
Dan Majerle,1988,0.09,11.3,8.6,3.9,2.4,1.2,0.3,1,0.2800539448401062,0
Ledell Eackles,1988,0.07,15.2,11.5,2.3,1.5,0.5,0.1,1,0.26713627895921627,0
Anthony Bowie,1988,0.054,10.6,8.6,3.1,1.6,1.0,0.2,1,0.1756653293120808,0
Sylvester Gray,1988,0.028,11.2,8.0,5.2,2.1,0.7,0.5,1,0.17224092044171752,0
Rex Chapman,1988,-0.005,12.6,16.9,2.5,2.3,0.9,0.3,1,0.1680449010378363,0
Jeff Grayer,1988,0.047,12.6,7.4,3.2,2.0,0.9,0.1,1,0.10619238684592781,0
Rony Seikaly,1988,-0.012,10.8,10.9,7.0,0.7,0.6,1.2,1,0.09929493188856237,0
Vinny Del Negro,1988,0.077,12.7,7.1,2.1,2.6,0.8,0.2,1,0.055081440608856794,0
Kelvin Upshaw,1988,0.021,10.3,6.8,1.5,3.7,0.8,0.1,1,0.020031359366288158,0
Anthony Taylor,1988,0.029,11.1,6.9,1.6,2.0,1.0,0.2,1,0.019116461173176124,0
Tom Garrick,1988,0.044,11.0,6.4,2.2,3.4,1.1,0.1,1,0.013659475687492649,0
Jerome Lane,1988,0.013,12.3,4.8,3.7,1.1,0.4,0.1,1,0.00990710680679377,0
Andrew Lang,1988,0.124,11.6,2.6,2.4,0.1,0.3,0.8,1,0.008899398628609995,0
Mark Bryant,1988,0.063,9.1,5.0,3.2,0.6,0.4,0.1,1,0.008363265764825852,0
Scott Brooks,1988,0.103,14.0,5.2,1.1,3.7,0.8,0.0,1,0.0070385017309741804,0
David Robinson,1989,0.241,26.3,24.3,12.0,2.0,1.7,3.9,1,0.9860422895047831,1
Sherman Douglas,1989,0.086,17.0,14.3,2.5,7.6,1.8,0.1,1,0.9766564605336444,1
Pooh Richardson,1989,0.082,15.8,11.4,2.6,6.8,1.6,0.3,1,0.9551660053766639,1
Tim Hardaway,1989,0.06,16.0,14.7,3.9,8.7,2.1,0.2,1,0.9411479709904176,1
J.R. Reid,1989,0.02,10.2,11.1,8.4,1.2,1.1,0.7,1,0.8471491400790823,2
Sean Elliott,1989,0.108,12.5,10.0,3.7,1.9,0.6,0.2,1,0.8139131465661237,2
Vlade Divac,1989,0.148,17.5,8.5,6.2,0.9,1.0,1.4,1,0.7802843323219075,1
Glen Rice,1989,0.029,11.3,13.6,4.6,1.8,0.9,0.4,1,0.7183973909041219,2
Sam Mitchell,1989,0.102,13.7,12.7,5.8,1.1,0.8,0.7,1,0.6585773563747277,0
Nick Anderson,1989,0.049,14.9,11.5,3.9,1.5,0.9,0.4,1,0.6237501827885586,0
Stacey King,1989,0.098,13.8,8.9,4.7,1.1,0.5,0.7,1,0.554391694356094,2
Dana Barros,1989,0.053,12.8,9.7,1.6,2.5,0.7,0.0,1,0.3932039964312879,0
Charles Smith,1989,0.165,19.5,21.1,6.7,1.5,1.1,1.5,1,0.32418247913235554,0
Clifford Robinson,1989,0.01,9.3,9.1,3.8,0.9,0.6,0.6,1,0.29076429397025766,0
Mookie Blaylock,1989,-0.011,11.5,10.1,2.8,4.2,1.6,0.3,1,0.2898095873060453,0
Blue Edwards,1989,0.068,10.7,8.9,3.1,1.8,0.9,0.4,1,0.27554381731806316,2
Derrick Gervin,1989,0.184,22.9,12.0,3.1,0.4,1.0,0.3,1,0.25419638682337053,0
Michael Ansley,1989,0.129,17.3,8.7,5.0,0.6,0.3,0.2,1,0.21817393194067655,0
Šarūnas Marčiulionis,1989,0.107,15.5,12.1,2.9,1.6,1.3,0.1,1,0.1439686841313489,0
Pervis Ellison,1989,0.021,10.3,8.0,5.8,1.9,0.5,1.7,1,0.12066006240977388,0
Shawn Kemp,1989,0.092,15.9,6.5,4.3,0.3,0.6,0.9,1,0.1056320571755619,0
Dražen Petrović,1989,0.139,15.5,7.6,1.4,1.5,0.3,0.0,1,0.09336500658036541,0
Chucky Brown,1989,0.078,11.9,7.3,3.1,0.7,0.4,0.3,1,0.05907695825339765,0
Todd Lichti,1989,0.066,12.3,8.0,1.9,1.5,0.7,0.2,1,0.04719860268111206,0
Winston Bennett,1989,0.055,10.0,6.1,3.4,1.0,0.4,0.2,1,0.017758178127809433,0
Donald Royal,1989,0.087,15.2,5.9,2.1,0.7,0.5,0.1,1,0.007237651718199065,0
Tom Hammonds,1989,0.031,10.5,5.3,2.8,0.8,0.2,0.2,1,0.006265502178773179,0
Jeff Martin,1989,0.031,8.7,6.3,2.3,0.6,0.6,0.2,1,0.0062422851344045484,0
