Player,Season,VORP,DWS,PER,FTA,TOV,PTS,Rookie,RookieNBA_pred_proba,Class
Willie Anderson,1988,2.3,2.8,16.6,3.6,3.2,18.6,1,0.9871720652747848,1
Mitch Richmond,1988,1.3,1.9,17.2,6.4,3.4,22.0,1,0.985772845476718,1
Charles Smith,1988,0.2,1.6,15.6,5.5,2.1,16.3,1,0.926355626217107,1
Hersey Hawkins,1988,1.2,1.3,14.2,3.7,2.0,15.1,1,0.8753311791728051,1
Chris Morris,1988,0.9,2.0,15.0,3.3,2.5,14.1,1,0.8418539356184546,0
Rik Smits,1988,0.6,1.9,15.6,3.1,1.6,11.7,1,0.824680923912952,1
Kevin Edwards,1988,0.1,2.2,12.6,2.4,3.1,13.8,1,0.63404571033924,0
Vernon Maxwell,1988,-0.3,1.4,12.1,3.1,2.3,11.7,1,0.6330600308828651,0
Rod Strickland,1988,1.4,1.5,18.0,2.9,1.8,8.9,1,0.5557147926857874,0
Grant Long,1988,0.5,2.7,13.7,5.0,2.5,11.9,1,0.5434761913515147,0
Brian Shaw,1988,0.8,1.7,12.2,1.6,2.3,8.6,1,0.5001688557764328,0
Danny Manning,1988,0.2,0.7,13.4,4.0,3.6,16.7,1,0.48586795377684,0
Ricky Berry,1988,0.1,0.8,13.1,2.6,1.3,11.0,1,0.4414159445022631,0
Rex Chapman,1988,-0.7,0.4,12.6,2.6,1.5,16.9,1,0.42636171349505675,0
Derrick Chievous,1988,-0.5,1.6,11.6,3.0,1.7,9.3,1,0.3936062181926236,0
Dan Majerle,1988,0.8,1.7,11.3,2.4,0.9,8.6,1,0.33703898352077316,0
Gary Grant,1988,0.0,1.6,14.1,2.3,3.6,11.9,1,0.23958155130628267,0
Sylvester Gray,1988,-0.2,1.1,11.2,2.8,1.9,8.0,1,0.08804469735571081,0
Rony Seikaly,1988,-1.9,2.2,10.8,4.5,2.6,10.9,1,0.05354434624167448,0
Ledell Eackles,1988,0.1,0.8,15.2,4.3,1.6,11.5,1,0.04983249486056311,0
Vinny Del Negro,1988,0.3,1.0,12.7,1.3,1.0,7.1,1,0.025454032191702985,0
Tom Garrick,1988,-0.2,0.9,11.0,1.8,1.6,6.4,1,0.02047096423341408,0
Anthony Bowie,1988,-0.2,0.3,10.6,0.8,1.2,8.6,1,0.016076965358278995,0
Jeff Grayer,1988,0.0,0.2,12.6,1.8,1.7,7.4,1,0.01592437115844043,0
Anthony Taylor,1988,0.0,0.3,11.1,1.5,1.0,6.9,1,0.014855450385576638,0
