Player,Season,VORP,DWS,PER,FTA,TOV,PTS,Rookie,RookieNBA_pred_proba,Class
Willie Anderson,1988,2.3,2.8,16.6,3.6,3.2,18.6,1,0.9991956716802249,1
Mitch Richmond,1988,1.3,1.9,17.2,6.4,3.4,22.0,1,0.9989749580267213,1
Kevin Edwards,1988,0.1,2.2,12.6,2.4,3.1,13.8,1,0.9632028715084735,0
Chris Morris,1988,0.9,2.0,15.0,3.3,2.5,14.1,1,0.9556371488813571,0
Charles Smith,1988,0.2,1.6,15.6,5.5,2.1,16.3,1,0.9528587412007669,1
Hersey Hawkins,1988,1.2,1.3,14.2,3.7,2.0,15.1,1,0.9225645215744879,1
Danny Manning,1988,0.2,0.7,13.4,4.0,3.6,16.7,1,0.9191088603100271,0
Grant Long,1988,0.5,2.7,13.7,5.0,2.5,11.9,1,0.9040937988350787,0
Rex Chapman,1988,-0.7,0.4,12.6,2.6,1.5,16.9,1,0.884338790330613,0
Rik Smits,1988,0.6,1.9,15.6,3.1,1.6,11.7,1,0.8123786233237683,1
Gary Grant,1988,0.0,1.6,14.1,2.3,3.6,11.9,1,0.8085432205801268,0
Rony Seikaly,1988,-1.9,2.2,10.8,4.5,2.6,10.9,1,0.6337984634946077,0
Vernon Maxwell,1988,-0.3,1.4,12.1,3.1,2.3,11.7,1,0.6280645201991318,0
Brian Shaw,1988,0.8,1.7,12.2,1.6,2.3,8.6,1,0.44746444514348493,0
Rod Strickland,1988,1.4,1.5,18.0,2.9,1.8,8.9,1,0.4019888040322676,0
Ricky Berry,1988,0.1,0.8,13.1,2.6,1.3,11.0,1,0.34894045445251687,0
Dan Majerle,1988,0.8,1.7,11.3,2.4,0.9,8.6,1,0.3458931363421038,0
Derrick Chievous,1988,-0.5,1.6,11.6,3.0,1.7,9.3,1,0.34013843905304036,0
Ledell Eackles,1988,0.1,0.8,15.2,4.3,1.6,11.5,1,0.3379227465608718,0
Sylvester Gray,1988,-0.2,1.1,11.2,2.8,1.9,8.0,1,0.11754541809130518,0
Vinny Del Negro,1988,0.3,1.0,12.7,1.3,1.0,7.1,1,0.09685515062039046,0
Anthony Bowie,1988,-0.2,0.3,10.6,0.8,1.2,8.6,1,0.08280752703828964,0
Tom Garrick,1988,-0.2,0.9,11.0,1.8,1.6,6.4,1,0.04755699082609185,0
Kelvin Upshaw,1988,-0.2,0.4,10.3,0.8,1.7,6.8,1,0.03768927536471354,0
Harvey Grant,1988,0.0,0.9,10.6,0.8,0.4,5.6,1,0.03506295864458749,0
Jeff Grayer,1988,0.0,0.2,12.6,1.8,1.7,7.4,1,0.03467750760485844,0
Anthony Taylor,1988,0.0,0.3,11.1,1.5,1.0,6.9,1,0.028334648920119655,0
Scott Brooks,1988,1.1,0.6,14.0,0.8,0.8,5.2,1,0.026744032832651938,0
Eric Leckner,1988,-0.6,1.4,9.7,1.5,0.9,4.3,1,0.02649653203984906,0
Michael Anderson,1988,-0.1,0.6,10.5,2.3,2.3,5.7,1,0.020166444628067583,0
David Robinson,1989,6.8,7.2,26.3,10.2,3.1,24.3,1,0.9999999051515972,1
Charles Smith,1989,2.7,3.1,19.5,7.3,2.1,21.1,1,0.9996797669767963,0
Sherman Douglas,1989,2.1,2.1,17.0,4.0,3.0,14.3,1,0.9706250451103677,1
Pooh Richardson,1989,2.2,2.4,15.8,1.3,1.7,11.4,1,0.9431508356920334,1
Tim Hardaway,1989,1.2,1.4,16.0,3.5,3.3,14.7,1,0.9360072268425499,1
Glen Rice,1989,-0.7,1.8,11.3,1.6,1.5,13.6,1,0.9162408525442172,2
Sam Mitchell,1989,-0.3,2.3,13.7,4.4,1.2,12.7,1,0.878662560565673,0
J.R. Reid,1989,-1.5,2.8,10.2,3.5,2.1,11.1,1,0.8565527227578588,2
Vlade Divac,1989,1.1,3.2,17.5,2.6,1.3,8.5,1,0.8561924994456646,1
Sean Elliott,1989,0.4,2.0,12.5,2.7,1.4,10.0,1,0.6360369045300179,2
Blue Edwards,1989,-0.1,2.4,10.7,2.5,1.9,8.9,1,0.6135170004563345,2
