Player,Season,VORP,DWS,PER,FTA,TOV,DRB,Rookie,RookieNBA_pred_proba,Class
Mitch Richmond,1988,1.3,1.9,17.2,6.4,3.4,3.9,1,0.9994043,1
Willie Anderson,1988,2.3,2.8,16.6,3.6,3.2,3.3,1,0.99844766,1
Charles Smith,1988,0.2,1.6,15.6,5.5,2.1,4.1,1,0.99381083,1
Hersey Hawkins,1988,1.2,1.3,14.2,3.7,2.0,2.2,1,0.9594502,1
Rik Smits,1988,0.6,1.9,15.6,3.1,1.6,3.8,1,0.9060114,1
Chris Morris,1988,0.9,2.0,15.0,3.3,2.5,2.8,1,0.23122865,0
Brian Shaw,1988,0.8,1.7,12.2,1.6,2.3,3.1,1,0.14293645,0
Grant Long,1988,0.5,2.7,13.7,5.0,2.5,3.7,1,0.14015438,0
Kevin Edwards,1988,0.1,2.2,12.6,2.4,3.1,2.2,1,0.13434868,0
Gary Grant,1988,0.0,1.6,14.1,2.3,3.6,2.2,1,0.1302992,0
Danny Manning,1988,0.2,0.7,13.4,4.0,3.6,3.9,1,0.12877843,0
Rod Strickland,1988,1.4,1.5,18.0,2.9,1.8,1.3,1,0.065508045,0
Vernon Maxwell,1988,-0.3,1.4,12.1,3.1,2.3,1.9,1,0.06199721,0
Dan Majerle,1988,0.8,1.7,11.3,2.4,0.9,2.7,1,0.053512547,0
Sylvester Gray,1988,-0.2,1.1,11.2,2.8,1.9,3.1,1,0.05217263,0
Rony Seikaly,1988,-1.9,2.2,10.8,4.5,2.6,4.4,1,0.044640128,0
Rex Chapman,1988,-0.7,0.4,12.6,2.6,1.5,1.5,1,0.0198202,0
Ricky Berry,1988,0.1,0.8,13.1,2.6,1.3,2.2,1,0.016628018,0
Tom Garrick,1988,-0.2,0.9,11.0,1.8,1.6,1.7,1,0.016130397,0
Jeff Grayer,1988,0.0,0.2,12.6,1.8,1.7,1.9,1,0.014628517,0
Derrick Chievous,1988,-0.5,1.6,11.6,3.0,1.7,1.8,1,0.0140125705,0
Scott Brooks,1988,1.1,0.6,14.0,0.8,0.8,0.9,1,0.01246571,0
Jerome Lane,1988,-0.4,0.7,12.3,2.1,0.9,2.1,1,0.011975692,0
Vinny Del Negro,1988,0.3,1.0,12.7,1.3,1.0,1.5,1,0.010900564,0
Anthony Taylor,1988,0.0,0.3,11.1,1.5,1.0,1.1,1,0.0067005144,0
Michael Anderson,1988,-0.1,0.6,10.5,2.3,2.3,1.3,1,0.0059896605,0
Eric Leckner,1988,-0.6,1.4,9.7,1.5,0.9,2.0,1,0.005027066,0
Ledell Eackles,1988,0.1,0.8,15.2,4.3,1.6,1.0,1,0.0021180513,0
Kelvin Upshaw,1988,-0.2,0.4,10.3,0.8,1.7,1.2,1,0.0019523398,0
John Shasky,1988,-0.1,0.7,12.7,2.6,0.7,2.1,1,0.0017115142,0
Tim Hardaway,1989,1.2,1.4,16.0,3.5,3.3,3.2,1,0.9985386,1
Sherman Douglas,1989,2.1,2.1,17.0,4.0,3.0,1.7,1,0.995385,1
David Robinson,1989,6.8,7.2,26.3,10.2,3.1,8.3,1,0.9933427,1
Pooh Richardson,1989,2.2,2.4,15.8,1.3,1.7,2.0,1,0.9932682,1
Vlade Divac,1989,1.1,3.2,17.5,2.6,1.3,4.2,1,0.9802664,1
J.R. Reid,1989,-1.5,2.8,10.2,3.5,2.1,6.0,1,0.9697744,2
Blue Edwards,1989,-0.1,2.4,10.7,2.5,1.9,2.2,1,0.9149365,2
Sean Elliott,1989,0.4,2.0,12.5,2.7,1.4,2.1,1,0.9077119,2
Glen Rice,1989,-0.7,1.8,11.3,1.6,1.5,3.3,1,0.8738446,2
Stacey King,1989,-0.4,1.4,13.8,3.3,1.5,2.6,1,0.8550773,2
Charles Smith,1989,2.7,3.1,19.5,7.3,2.1,4.4,1,0.28785717,0
Mookie Blaylock,1989,0.0,1.3,11.5,1.6,2.2,2.0,1,0.16732219,0
Shawn Kemp,1989,0.0,1.6,15.9,2.0,1.3,2.5,1,0.10414034,0
Kenny Battle,1989,0.4,1.0,12.2,1.4,0.5,1.4,1,0.044225913,0
Clifford Robinson,1989,-1.2,2.4,9.3,3.1,1.6,2.4,1,0.041499138,0
Dana Barros,1989,0.6,0.7,12.8,1.4,1.5,1.2,1,0.035550863,0
Šarūnas Marčiulionis,1989,0.5,0.7,15.5,5.4,1.8,1.8,1,0.032223478,0
Todd Lichti,1989,-0.1,1.3,12.3,2.2,1.2,1.3,1,0.028615607,0
Sam Mitchell,1989,-0.3,2.3,13.7,4.4,1.2,3.5,1,0.026446657,0
Chucky Brown,1989,-0.6,1.3,11.9,2.2,0.9,2.0,1,0.024406208,0
Nick Anderson,1989,0.5,0.7,14.9,3.3,1.7,2.6,1,0.024065651,0
Dražen Petrović,1989,0.7,1.0,15.5,2.1,1.2,0.8,1,0.0110104345,0
Winston Bennett,1989,-0.6,0.9,10.0,1.7,1.1,1.9,1,0.010130876,0
Pervis Ellison,1989,-0.3,0.9,10.3,2.3,1.8,3.9,1,0.004555772,0
Ed Horton,1989,-0.3,0.3,14.5,1.5,0.9,1.1,1,0.0018950684,0
Derrick Gervin,1989,0.4,0.4,22.9,4.2,0.6,1.7,1,0.0014858815,0
Randy White,1989,-1.0,0.8,7.4,1.6,0.9,1.7,1,0.0010298515,0
Alexander Volkov,1989,0.2,0.4,11.9,1.7,0.7,0.9,1,0.00096927624,0
Terry Davis,1989,-0.8,0.9,9.0,1.4,1.1,2.2,1,0.00069311017,0
Tom Hammonds,1989,-0.6,0.5,10.5,1.6,0.8,1.8,1,0.0006389551,0
Derrick Coleman,1990,1.5,3.4,17.6,6.0,2.9,6.6,1,0.99977523,1
Lionel Simmons,1990,1.2,3.6,15.4,5.5,2.9,6.4,1,0.9994867,1
Felton Spencer,1990,-0.3,2.1,13.8,3.1,1.0,4.6,1,0.99024427,2
Travis Mays,1990,0.0,1.3,12.3,5.2,2.5,1.9,1,0.97362816,2
Gary Payton,1990,1.6,2.4,13.2,1.2,2.2,1.6,1,0.95865864,2
Dennis Scott,1990,0.3,1.2,13.0,2.5,1.5,2.1,1,0.9549211,1
Mahmoud Abdul-Rauf,1990,-1.1,-0.3,12.2,1.5,1.6,1.3,1,0.94142014,2
Kendall Gill,1990,1.3,1.6,15.4,2.2,2.0,1.9,1,0.9244737,1
Dee Brown,1990,0.5,1.8,13.2,1.9,1.7,1.7,1,0.91335267,1
Willie Burton,1990,-0.7,1.6,11.5,3.9,1.9,2.0,1,0.87684244,2
Anthony Bonner,1990,0.0,0.8,12.2,2.2,1.2,3.0,1,0.122619316,0
Alec Kessler,1990,-1.7,1.2,8.4,1.7,1.4,2.8,1,0.105460435,0
Duane Causwell,1990,0.3,2.2,13.0,2.2,1.3,3.3,1,0.10480258,0
Danny Ferry,1990,-0.8,1.3,10.9,1.9,1.5,2.3,1,0.027646054,0
Rumeal Robinson,1990,-0.2,0.5,11.7,1.7,1.6,1.1,1,0.023445198,0
Tyrone Hill,1990,-0.8,1.1,10.5,2.1,1.0,3.1,1,0.021301541,0
Bimbo Coles,1990,-0.1,1.2,10.4,1.2,1.2,1.2,1,0.017386293,0
Anthony Cook,1990,-0.6,0.5,10.7,2.2,0.9,3.3,1,0.012183753,0
A.J. English,1990,-0.7,0.7,10.6,2.2,1.6,1.2,1,0.010058179,0
Dwayne Schintzius,1990,-0.3,0.8,10.1,1.0,0.8,2.2,1,0.004382366,0
Loy Vaught,1990,-0.3,1.4,12.1,1.0,0.7,3.1,1,0.003175839,0
Marcus Liberty,1990,-0.7,0.1,10.4,1.2,0.9,1.4,1,0.0023763347,0
Mario Elie,1990,0.3,0.3,12.9,2.7,0.9,1.9,1,0.0018973175,0
Terry Mills,1990,-0.1,0.9,13.6,1.2,0.8,2.7,1,0.0011890596,0
Jud Buechler,1990,0.0,0.8,10.0,0.9,0.4,1.1,1,0.0010729925,0
Jerrod Mustaf,1990,-0.6,0.8,8.3,1.4,1.0,1.9,1,0.0006156473,0
Cedric Ceballos,1990,0.0,0.7,17.8,2.6,1.1,1.2,1,0.0005189555,0
Negele Knight,1990,-0.1,0.6,12.1,1.8,1.2,0.8,1,0.00047855286,0
Henry James,1990,0.0,0.4,14.7,1.9,1.0,1.4,1,0.0003952889,0
Bo Kimble,1990,-1.0,0.8,7.7,1.9,1.2,1.2,1,0.00027909648,0
Dikembe Mutombo,1991,1.4,3.6,16.5,7.0,3.5,7.8,1,0.9996928,1
Billy Owens,1991,1.3,2.3,15.6,3.9,2.2,5.0,1,0.9991985,1
Stanley Roberts,1991,0.2,1.4,16.3,3.6,1.4,4.1,1,0.98250467,2
Steve Smith,1991,0.3,0.8,12.5,2.1,2.5,1.8,1,0.9759405,1
Larry Stewart,1991,0.3,1.8,12.9,3.1,1.5,3.5,1,0.9747182,2
Rick Fox,1991,0.2,1.9,12.2,2.3,1.5,1.8,1,0.9672483,2
Mark Macon,1991,-1.4,2.3,8.3,2.4,2.0,1.8,1,0.9565487,2
Larry Johnson,1991,2.6,2.5,18.9,5.0,2.0,7.0,1,0.93972856,1
Terrell Brandon,1991,-0.1,1.5,12.8,1.5,1.7,1.4,1,0.8822506,2
Stacey Augmon,1991,0.8,2.2,14.4,3.9,2.2,2.8,1,0.87117827,1
Victor Alexander,1991,0.0,1.4,13.9,1.9,1.1,2.9,1,0.1538871,0
Donald Hodge,1991,-0.1,0.8,13.8,2.9,1.5,3.1,1,0.13830966,0
Kenny Anderson,1991,0.1,1.1,12.8,1.5,1.5,1.4,1,0.09784825,0
Paul Graham,1991,1.0,1.7,14.7,2.2,1.2,2.0,1,0.0856734,0
Luc Longley,1991,-0.6,1.1,10.1,1.2,1.3,2.9,1,0.06513379,0
Doug Smith,1991,-0.6,1.6,11.9,1.6,1.3,3.4,1,0.060135018,0
Dale Davis,1991,0.2,1.5,13.3,2.4,0.8,3.9,1,0.035080478,0
Bison Dele,1991,0.3,1.2,17.1,3.0,1.8,3.3,1,0.031169595,0
Mike Iuzzolino,1991,0.3,0.3,13.3,2.5,1.8,1.4,1,0.0160566,0
David Benoit,1991,-0.3,1.5,12.1,1.3,0.9,2.5,1,0.009635823,0
Chris Corchiani,1991,0.0,0.6,12.1,2.0,1.5,1.2,1,0.0056356573,0
Robert Pack,1991,-0.1,1.1,10.5,1.8,1.3,0.9,1,0.0029913767,0
Greg Anthony,1991,0.0,2.0,10.6,1.9,1.2,1.3,1,0.0029524346,0
Chris Gatling,1991,0.4,0.8,18.2,2.0,0.8,2.0,1,0.0014726795,0
Eric Murdock,1991,0.2,0.7,13.6,1.2,1.0,0.7,1,0.0012753893,0
Tracy Moore,1991,-0.1,0.4,11.6,1.9,1.0,1.2,1,0.0010479225,0
Derek Strong,1991,0.0,0.0,3.2,4.0,1.0,4.0,1,0.0006100217,0
LaBradford Smith,1991,-0.5,0.7,9.6,1.2,1.3,1.1,1,0.00032015814,0
Carl Herrera,1991,-0.1,0.6,10.9,1.0,0.9,1.5,1,0.00022234702,0
