Player,Season,WS/48,PER,PTS,TRB,AST,STL,BLK,Rookie,RookieNBA_pred_proba,Class
Willie Anderson,1988,0.085,16.6,18.6,5.1,4.6,1.9,0.8,1,0.99740916,1
Mitch Richmond,1988,0.098,17.2,22.0,5.9,4.2,1.0,0.2,1,0.99596405,1
Hersey Hawkins,1988,0.075,14.2,15.1,2.8,3.0,1.5,0.5,1,0.99582374,1
Rik Smits,1988,0.101,15.6,11.7,6.1,0.9,0.5,1.8,1,0.9944003,1
Charles Smith,1988,0.089,15.6,16.3,6.5,1.5,1.0,1.3,1,0.992529,1
Danny Manning,1988,0.034,13.4,16.7,6.6,3.1,1.7,1.0,1,0.16255128,0
Gary Grant,1988,-0.009,14.1,11.9,3.4,7.1,2.0,0.1,1,0.14919026,0
Rod Strickland,1988,0.131,18.0,8.9,2.0,3.9,1.2,0.0,1,0.1311557,0
Ledell Eackles,1988,0.07,15.2,11.5,2.3,1.5,0.5,0.1,1,0.10939025,0
Ricky Berry,1988,0.083,13.1,11.0,3.1,1.3,0.6,0.3,1,0.10404079,0
Grant Long,1988,0.091,13.7,11.9,6.7,1.8,1.5,0.6,1,0.09761635,0
Derrick Chievous,1988,0.05,11.6,9.3,3.2,1.0,0.6,0.1,1,0.09200051,0
Chris Morris,1988,0.064,15.0,14.1,5.2,1.6,1.3,0.8,1,0.08816875,0
Dan Majerle,1988,0.09,11.3,8.6,3.9,2.4,1.2,0.3,1,0.081209645,0
Vernon Maxwell,1988,0.035,12.1,11.7,2.6,3.8,1.1,0.1,1,0.07361887,0
Brian Shaw,1988,0.046,12.2,8.6,4.6,5.8,1.0,0.3,1,0.069683485,0
Rex Chapman,1988,-0.005,12.6,16.9,2.5,2.3,0.9,0.3,1,0.0623862,0
Sylvester Gray,1988,0.028,11.2,8.0,5.2,2.1,0.7,0.5,1,0.03817733,0
Kevin Edwards,1988,-0.003,12.6,13.8,3.3,4.4,1.8,0.3,1,0.035879638,0
Anthony Bowie,1988,0.054,10.6,8.6,3.1,1.6,1.0,0.2,1,0.027431024,0
Rony Seikaly,1988,-0.012,10.8,10.9,7.0,0.7,0.6,1.2,1,0.010069561,0
Vinny Del Negro,1988,0.077,12.7,7.1,2.1,2.6,0.8,0.2,1,0.00387326,0
Jeff Grayer,1988,0.047,12.6,7.4,3.2,2.0,0.9,0.1,1,0.002369432,0
Kelvin Upshaw,1988,0.021,10.3,6.8,1.5,3.7,0.8,0.1,1,0.002149791,0
Tom Garrick,1988,0.044,11.0,6.4,2.2,3.4,1.1,0.1,1,0.001976458,0
Harvey Grant,1988,0.07,10.6,5.6,2.3,1.1,0.5,0.4,1,0.0017983493,0
Anthony Taylor,1988,0.029,11.1,6.9,1.6,2.0,1.0,0.2,1,0.0013519659,0
Scott Brooks,1988,0.103,14.0,5.2,1.1,3.7,0.8,0.0,1,0.0013165742,0
Michael Anderson,1988,0.01,10.5,5.7,2.5,4.3,1.2,0.1,1,0.00086063775,0
Andrew Lang,1988,0.124,11.6,2.6,2.4,0.1,0.3,0.8,1,0.00083209766,0
Pooh Richardson,1989,0.082,15.8,11.4,2.6,6.8,1.6,0.3,1,0.99845266,1
Sherman Douglas,1989,0.086,17.0,14.3,2.5,7.6,1.8,0.1,1,0.99773705,1
Tim Hardaway,1989,0.06,16.0,14.7,3.9,8.7,2.1,0.2,1,0.9960079,1
David Robinson,1989,0.241,26.3,24.3,12.0,2.0,1.7,3.9,1,0.9934956,1
Sean Elliott,1989,0.108,12.5,10.0,3.7,1.9,0.6,0.2,1,0.96665424,2
J.R. Reid,1989,0.02,10.2,11.1,8.4,1.2,1.1,0.7,1,0.965978,2
Vlade Divac,1989,0.148,17.5,8.5,6.2,0.9,1.0,1.4,1,0.9646528,1
Glen Rice,1989,0.029,11.3,13.6,4.6,1.8,0.9,0.4,1,0.9130898,2
Stacey King,1989,0.098,13.8,8.9,4.7,1.1,0.5,0.7,1,0.87961847,2
Blue Edwards,1989,0.068,10.7,8.9,3.1,1.8,0.9,0.4,1,0.87420493,2
Charles Smith,1989,0.165,19.5,21.1,6.7,1.5,1.1,1.5,1,0.15005824,0
Nick Anderson,1989,0.049,14.9,11.5,3.9,1.5,0.9,0.4,1,0.11746008,0
Sam Mitchell,1989,0.102,13.7,12.7,5.8,1.1,0.8,0.7,1,0.114550345,0
Michael Ansley,1989,0.129,17.3,8.7,5.0,0.6,0.3,0.2,1,0.054511007,0
Mookie Blaylock,1989,-0.011,11.5,10.1,2.8,4.2,1.6,0.3,1,0.05390149,0
Clifford Robinson,1989,0.01,9.3,9.1,3.8,0.9,0.6,0.6,1,0.042272493,0
Derrick Gervin,1989,0.184,22.9,12.0,3.1,0.4,1.0,0.3,1,0.04181423,0
Pervis Ellison,1989,0.021,10.3,8.0,5.8,1.9,0.5,1.7,1,0.034988403,0
Šarūnas Marčiulionis,1989,0.107,15.5,12.1,2.9,1.6,1.3,0.1,1,0.027896773,0
Dana Barros,1989,0.053,12.8,9.7,1.6,2.5,0.7,0.0,1,0.026381992,0
Shawn Kemp,1989,0.092,15.9,6.5,4.3,0.3,0.6,0.9,1,0.015767133,0
Dražen Petrović,1989,0.139,15.5,7.6,1.4,1.5,0.3,0.0,1,0.012961855,0
Winston Bennett,1989,0.055,10.0,6.1,3.4,1.0,0.4,0.2,1,0.012629866,0
Chucky Brown,1989,0.078,11.9,7.3,3.1,0.7,0.4,0.3,1,0.0028736754,0
Donald Royal,1989,0.087,15.2,5.9,2.1,0.7,0.5,0.1,1,0.0024764168,0
Todd Lichti,1989,0.066,12.3,8.0,1.9,1.5,0.7,0.2,1,0.001554057,0
Doug Roth,1989,0.052,8.2,1.9,2.9,0.5,0.2,0.3,1,0.0014071749,0
Alexander Volkov,1989,0.074,11.9,5.0,1.7,1.2,0.5,0.3,1,0.0007045557,0
Kenny Battle,1989,0.127,12.2,4.1,2.1,0.6,0.6,0.2,1,0.00034601436,0
Byron Irvin,1989,0.12,15.6,5.2,1.5,0.9,0.6,0.0,1,0.00020194991,0
Derrick Coleman,1990,0.108,17.6,18.4,10.3,2.2,1.0,1.3,1,0.99368435,1
Dennis Scott,1990,0.054,13.0,15.7,2.9,1.6,0.8,0.3,1,0.99241614,1
Lionel Simmons,1990,0.044,15.4,18.0,8.8,4.0,1.4,1.1,1,0.9891712,1
Felton Spencer,1990,0.128,13.8,7.1,7.9,0.3,0.6,1.5,1,0.98559463,2
Travis Mays,1990,0.047,12.3,14.3,2.8,4.0,1.3,0.2,1,0.98214114,2
Gary Payton,1990,0.073,13.2,7.2,3.0,6.4,2.0,0.2,1,0.9735039,2
Dee Brown,1990,0.087,13.2,8.7,2.2,4.2,1.0,0.2,1,0.97169906,1
Willie Burton,1990,0.052,11.5,12.0,3.4,1.4,0.9,0.3,1,0.9348494,2
Kendall Gill,1990,0.044,15.4,11.0,3.2,3.7,1.3,0.5,1,0.92279387,1
Mahmoud Abdul-Rauf,1990,-0.031,12.2,14.1,1.8,3.1,0.8,0.1,1,0.89473754,2
Duane Causwell,1990,0.079,13.0,6.9,5.1,0.9,0.6,1.9,1,0.031215096,0
Mario Elie,1990,0.122,12.9,7.2,3.3,1.4,0.6,0.3,1,0.024590775,0
Marcus Liberty,1990,-0.004,10.4,6.7,2.9,0.8,0.6,0.3,1,0.0067887325,0
Henry James,1990,0.053,14.7,8.1,2.1,0.9,0.4,0.1,1,0.0065000714,0
Tyrone Hill,1990,0.084,10.5,5.3,5.2,0.3,0.4,0.4,1,0.005312195,0
A.J. English,1990,0.008,10.6,8.8,2.1,2.5,0.4,0.2,1,0.0037035157,0
Danny Ferry,1990,0.028,10.9,8.6,3.5,1.8,0.5,0.3,1,0.003144263,0
Anthony Bonner,1990,0.044,12.2,7.4,4.7,1.4,1.1,0.1,1,0.0031160496,0
Anthony Cook,1990,0.022,10.7,5.3,5.6,0.4,0.6,1.2,1,0.0024393885,0
Alec Kessler,1990,-0.005,8.4,6.2,4.3,0.4,0.2,0.3,1,0.00178101,0
Terry Mills,1990,0.078,13.6,5.7,4.2,0.6,0.6,0.5,1,0.0010531663,0
Cedric Ceballos,1990,0.085,17.8,8.2,2.4,0.6,0.3,0.1,1,0.0009319569,0
Loy Vaught,1990,0.091,12.1,5.5,4.8,0.5,0.3,0.3,1,0.00053897954,0
Gerald Glass,1990,0.036,15.9,6.9,2.0,0.8,0.5,0.2,1,0.00049138494,0
Gerald Paddio,1990,-0.018,9.3,7.2,1.7,1.3,0.3,0.1,1,0.00023750208,0
Elden Campbell,1990,0.135,14.5,2.8,1.8,0.2,0.2,0.7,1,0.00014500473,0
Cedric Ball,1990,0.054,10.8,1.1,1.6,0.0,0.0,0.3,1,0.00013724952,0
Alan Ogg,1990,0.053,7.4,1.7,1.6,0.1,0.2,0.9,1,0.00012734103,0
Keith Askins,1990,0.103,13.5,2.2,1.7,0.5,0.4,0.3,1,9.5731804e-05,0
Bo Kimble,1990,0.0,7.7,6.9,1.9,1.2,0.5,0.1,1,7.5222306e-05,0
Dikembe Mutombo,1991,0.086,16.5,16.6,12.3,2.2,0.6,3.0,1,0.9992378,1
Larry Johnson,1991,0.14,18.9,19.2,11.0,3.6,1.0,0.6,1,0.99786013,1
Billy Owens,1991,0.107,15.6,14.3,8.0,2.4,1.1,0.8,1,0.9841941,1
Stanley Roberts,1991,0.092,16.3,10.4,6.1,0.7,0.4,1.5,1,0.980839,2
Stacey Augmon,1991,0.071,14.4,13.3,5.1,2.5,1.5,0.3,1,0.9575385,1
Larry Stewart,1991,0.101,12.9,10.4,5.9,1.6,0.7,0.6,1,0.9314949,2
Rick Fox,1991,0.073,12.2,8.0,2.7,1.6,1.0,0.4,1,0.9192063,2
Steve Smith,1991,0.04,12.5,12.0,3.1,4.6,1.0,0.3,1,0.91422665,1
Terrell Brandon,1991,0.028,12.8,7.4,2.0,3.9,1.0,0.3,1,0.88753235,2
Mark Macon,1991,-0.016,8.3,10.6,2.9,2.2,2.0,0.2,1,0.793569,2
Mike Iuzzolino,1991,0.081,13.3,9.3,1.9,3.7,0.6,0.0,1,0.12908196,0
Victor Alexander,1991,0.09,13.9,7.4,4.2,0.4,0.6,0.8,1,0.11966072,0
Paul Graham,1991,0.1,14.7,10.1,3.0,2.2,1.2,0.3,1,0.09749902,0
Dale Davis,1991,0.126,13.3,6.2,6.4,0.5,0.4,1.2,1,0.08713257,0
Donald Hodge,1991,0.069,13.8,8.4,5.4,0.8,0.5,0.5,1,0.06737694,0
Doug Smith,1991,0.023,11.9,8.8,5.1,1.7,0.8,0.4,1,0.06523652,0
Bison Dele,1991,0.097,17.1,9.1,5.7,0.7,0.9,1.1,1,0.049765047,0
Kenny Anderson,1991,0.022,12.8,7.0,2.0,3.2,1.0,0.1,1,0.035054658,0
Carl Thomas,1991,-0.027,6.4,12.0,0.0,1.0,1.0,0.0,1,0.01169496,0
Chris Gatling,1991,0.156,18.2,5.7,3.4,0.3,0.6,0.7,1,0.0046033827,0
