Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Season
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,
1,Victor Alexander,"Nov 1, '91, GSW @ DEN",22,5,286,5755,1101,2126,18,63,322,508,446,1384,257,135,177,378,713,2542,.518,.286,.634,20.1,8.9,4.8,0.9,0.5,0.6,1991
2,Kenny Anderson,"Nov 9, '91, NJN vs. DET",21,14,858,25868,4002,9512,547,1580,2238,2833,670,2641,5196,1258,111,1769,1974,10789,.421,.346,.790,30.1,12.6,3.1,6.1,1.5,0.1,1991
3,Greg Anthony,"Nov 1, '91, NYK @ ORL",24,11,757,15850,1914,4750,610,1748,1059,1445,271,1417,2997,887,79,1043,1324,5497,.403,.349,.733,20.9,7.3,1.9,4.0,1.2,0.1,1991
4,Stacey Augmon,"Nov 2, '91, ATL vs. DET",23,15,1001,21658,3037,6480,12,79,1904,2616,1304,3216,1561,974,317,1248,1750,7990,.469,.152,.728,21.6,8.0,3.2,1.6,1.0,0.3,1991
5,Isaac Austin,"Nov 2, '91, UTA @ IND",22,9,432,8350,1295,2901,9,51,686,1024,617,2030,538,214,226,701,967,3285,.446,.176,.670,19.3,7.6,4.7,1.2,0.5,0.5,1991
6,Steve Bardo,"Feb 19, '92, SAS vs. MIN",23,3,33,299,28,85,1,10,16,23,13,60,44,12,4,22,45,73,.329,.100,.696,9.1,2.2,1.8,1.3,0.4,0.1,1991
7,David Benoit,"Nov 1, '91, UTA @ MIN",23,7,492,9314,1335,3051,211,661,574,722,576,1983,287,216,246,424,1021,3455,.438,.319,.795,18.9,7.0,4.0,0.6,0.4,0.5,1991
8,Terrell Brandon,"Nov 1, '91, CLE @ POR",21,11,724,21545,3908,8720,394,1110,1784,2043,425,2174,4407,1142,226,1419,1325,9994,.448,.355,.873,29.8,13.8,3.0,6.1,1.6,0.3,1991
9,Kevin Brooks,"Nov 2, '91, DEN vs. HOU",22,3,126,1031,172,429,12,60,61,71,40,141,48,18,6,69,84,417,.401,.200,.859,8.2,3.3,1.1,0.4,0.1,0.0,1991
10,Myron Brown,"Nov 17, '91, MIN vs. SEA",22,1,4,23,4,6,1,3,0,0,0,3,6,1,0,4,2,9,.667,.333,,5.8,2.3,0.8,1.5,0.3,0.0,1991
11,Randy Brown,"Nov 1, '91, SAC vs. LAC",23,12,655,11533,1275,3055,24,120,574,831,326,1173,1420,722,156,725,1263,3148,.417,.200,.691,17.6,4.8,1.8,2.2,1.1,0.2,1991
12,Demetrius Calip,"Nov 1, '91, LAL @ HOU",22,1,7,58,4,18,1,5,2,3,1,5,12,1,0,5,8,11,.222,.200,.667,8.3,1.6,0.7,1.7,0.1,0.0,1991
13,Pete Chilcutt,"Nov 1, '91, SAC vs. LAC",23,9,584,8394,1044,2368,188,494,218,313,663,1935,488,267,210,390,853,2494,.441,.381,.696,14.4,4.3,3.3,0.8,0.5,0.4,1991
14,Marty Conlon,"Nov 5, '91, SEA vs. SAC",24,9,379,6316,967,1942,15,75,505,687,498,1310,378,148,73,413,684,2454,.498,.200,.735,16.7,6.5,3.5,1.0,0.4,0.2,1991
15,Tom Copa,"Nov 1, '91, SAS vs. DAL",27,1,33,132,22,40,0,0,4,13,14,36,3,2,6,8,29,48,.550,,.308,4.0,1.5,1.1,0.1,0.1,0.2,1991
16,Chris Corchiani,"Jan 4, '92, ORL @ DEN",23,3,112,1313,131,311,21,78,133,163,27,129,243,73,4,120,159,416,.421,.269,.816,11.7,3.7,1.2,2.2,0.7,0.0,1991
17,Corey Crowder,"Nov 2, '91, UTA @ IND",22,2,58,357,45,122,13,34,17,24,17,44,18,8,2,15,36,120,.369,.382,.708,6.2,2.1,0.8,0.3,0.1,0.0,1991
18,Dale Davis,"Nov 18, '91, IND vs. DET",22,16,1094,29606,3592,6779,0,8,1522,2708,3303,8605,978,691,1270,1090,2878,8706,.530,.000,.562,27.1,8.0,7.9,0.9,0.6,1.2,1991
19,Bison Dele,"Nov 20, '91, ORL vs. UTA",22,8,413,10004,1847,3499,2,14,840,1215,853,2564,440,320,355,822,1297,4536,.528,.143,.691,24.2,11.0,6.2,1.1,0.8,0.9,1991
20,Patrick Eddie,"Nov 26, '91, NYK vs. MIA",24,1,4,13,2,9,0,0,0,0,0,1,0,0,0,0,3,4,.222,,,3.3,1.0,0.3,0.0,0.0,0.0,1991
,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,1991
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,1991
21,LeRon Ellis,"Nov 6, '91, LAC vs. PHO",22,3,91,857,110,254,0,0,57,93,87,220,29,25,37,35,105,277,.433,,.613,9.4,3.0,2.4,0.3,0.3,0.4,1991
22,Rick Fox,"Nov 1, '91, BOS vs. CHH",22,13,930,23723,3382,7519,771,2208,1431,1858,996,3517,2649,967,355,1611,2739,8966,.450,.349,.770,25.5,9.6,3.8,2.8,1.0,0.4,1991
23,Chris Gatling,"Nov 1, '91, GSW @ DEN",24,11,700,13760,2804,5469,50,201,1574,2386,1248,3741,461,464,375,1069,1870,7232,.513,.249,.660,19.7,10.3,5.3,0.7,0.7,0.5,1991
24,Paul Graham,"Nov 8, '91, ATL @ BOS",24,3,179,3354,582,1299,100,295,235,318,137,433,352,186,32,216,389,1499,.448,.339,.739,18.7,8.4,2.4,2.0,1.0,0.2,1991
25,Sean Green,"Nov 2, '91, IND vs. UTA",21,3,84,671,153,396,15,61,31,50,36,85,45,33,13,63,63,352,.386,.246,.620,8.0,4.2,1.0,0.5,0.4,0.2,1991
26,Carl Herrera,"Nov 12, '91, HOU @ DAL",25,8,465,8042,1039,2183,2,14,401,624,577,1690,261,237,204,447,935,2481,.476,.143,.643,17.3,5.3,3.6,0.6,0.5,0.4,1991
27,Donald Hodge,"Nov 1, '91, DAL @ SAS",22,5,249,3501,462,1057,4,14,254,357,306,809,191,84,95,236,531,1182,.437,.286,.711,14.1,4.7,3.2,0.8,0.3,0.4,1991
28,Brian Howard,"Feb 4, '92, DAL @ LAC",24,2,95,1613,237,518,2,9,94,125,83,263,81,66,42,83,272,570,.458,.222,.752,17.0,6.0,2.8,0.9,0.7,0.4,1991
29,Cedric Hunter,"Feb 16, '92, CHH vs. MIA",27,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0,0.0,0.0,1991
30,Mike Iuzzolino,"Nov 1, '91, DAL @ SAS",24,2,122,3049,381,833,113,280,221,277,58,238,522,82,7,221,180,1096,.457,.404,.798,25.0,9.0,2.0,4.3,0.7,0.1,1991
31,Larry Johnson,"Nov 1, '91, CHH @ BOS",22,10,707,25685,4401,9086,367,1104,2281,2978,1794,5300,2298,515,258,1435,1893,11450,.484,.332,.766,36.3,16.2,7.5,3.3,0.7,0.4,1991
