Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Season
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,
1,Jaylen Adams,"Oct 17, '18, ATL @ NYK",22,2,41,446,39,118,25,76,7,9,11,63,67,14,5,28,46,110,.331,.329,.778,10.9,2.7,1.5,1.6,0.3,0.1,2018
2,Deng Adel,"Jan 19, '19, CLE @ DEN",21,1,19,194,11,36,6,23,4,4,3,19,5,1,4,6,13,32,.306,.261,1.000,10.2,1.7,1.0,0.3,0.1,0.2,2018
3,DeVaughn Akoon-Purcell,"Oct 23, '18, DEN vs. SAC",25,1,7,22,3,10,0,4,1,2,1,4,6,2,0,2,4,7,.300,.000,.500,3.1,1.0,0.6,0.9,0.3,0.0,2018
4,Rawle Alkins,"Dec 17, '18, CHI @ OKC",21,1,10,120,13,39,3,12,8,12,11,26,13,1,0,8,7,37,.333,.250,.667,12.0,3.7,2.6,1.3,0.1,0.0,2018
5,Grayson Allen,"Oct 22, '18, UTA vs. MEM",23,7,403,10227,1416,3140,855,2064,563,657,205,1216,812,293,112,399,636,4250,.451,.414,.857,25.4,10.5,3.0,2.0,0.7,0.3,2018
6,Kostas Antetokounmpo,"Mar 20, '19, DAL @ POR",21,3,22,87,6,16,0,0,9,19,6,23,3,4,4,13,10,21,.375,,.474,4.0,1.0,1.0,0.1,0.2,0.2,2018
7,Deandre Ayton,"Oct 17, '18, PHO vs. DAL",20,7,398,12272,2905,4926,28,122,704,932,1219,4167,649,292,380,688,1051,6542,.590,.230,.755,30.8,16.4,10.5,1.6,0.7,1.0,2018
8,Marvin Bagley III,"Oct 17, '18, SAC vs. UTA",19,7,289,6467,1402,2705,125,431,550,797,664,1889,253,130,181,331,536,3479,.518,.290,.690,22.4,12.0,6.5,0.9,0.4,0.6,2018
9,Mo Bamba,"Oct 17, '18, ORL vs. MIA",20,7,364,6115,953,1998,291,818,264,387,555,1980,306,132,460,287,749,2461,.477,.356,.682,16.8,6.8,5.4,0.8,0.4,1.3,2018
10,Keita Bates-Diop,"Oct 26, '18, MIN vs. MIL",23,6,283,4565,634,1337,146,438,283,377,208,848,241,146,99,154,242,1697,.474,.333,.751,16.1,6.0,3.0,0.9,0.5,0.3,2018
11,Dairis Bertāns,"Mar 10, '19, NOP @ ATL",29,1,12,167,12,47,10,34,0,0,2,9,10,1,0,2,7,34,.255,.294,,13.9,2.8,0.8,0.8,0.1,0.0,2018
12,Jaron Blossomgame,"Dec 5, '18, CLE vs. GSW",25,1,27,439,47,106,10,39,10,13,26,98,13,7,8,11,20,114,.443,.256,.769,16.3,4.2,3.6,0.5,0.3,0.3,2018
13,Jonah Bolden,"Oct 16, '18, PHI @ BOS",23,2,51,686,84,173,34,100,15,31,50,174,40,20,41,38,109,217,.486,.340,.484,13.5,4.3,3.4,0.8,0.4,0.8,2018
14,Isaac Bonga,"Dec 7, '18, LAL @ SAS",19,4,143,1871,156,361,39,130,88,116,102,320,118,73,37,88,238,439,.432,.300,.759,13.1,3.1,2.2,0.8,0.5,0.3,2018
15,Mikal Bridges,"Oct 17, '18, PHO vs. DAL",22,7,556,18514,3059,6318,977,2631,1109,1316,490,2207,1517,650,317,691,1032,8204,.484,.371,.843,33.3,14.8,4.0,2.7,1.2,0.6,2018
16,Miles Bridges,"Oct 17, '18, CHO vs. MIL",20,6,424,13070,2493,5399,732,2155,924,1119,469,2627,1135,322,294,675,790,6642,.462,.340,.826,30.8,15.7,6.2,2.7,0.8,0.7,2018
17,Isaiah Briscoe,"Oct 19, '18, ORL vs. CHO",22,1,39,559,55,138,11,34,15,26,5,74,87,11,2,31,66,136,.399,.324,.577,14.3,3.5,1.9,2.2,0.3,0.1,2018
18,Ryan Broekhoff,"Oct 17, '18, DAL @ PHO",28,2,59,633,79,185,58,144,22,27,13,106,33,11,8,22,50,238,.427,.403,.815,10.7,4.0,1.8,0.6,0.2,0.1,2018
19,Bruce Brown,"Oct 17, '18, DET vs. BRK",22,7,457,11376,1580,3322,283,841,602,784,476,1929,1117,418,223,504,1070,4045,.476,.337,.768,24.9,8.9,4.2,2.4,0.9,0.5,2018
20,Troy Brown Jr.,"Oct 24, '18, WAS @ GSW",19,6,356,6778,824,1949,306,873,242,309,257,1288,508,235,42,235,461,2196,.423,.351,.783,19.0,6.2,3.6,1.4,0.7,0.1,2018
,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,2018
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,2018
21,Jalen Brunson,"Oct 17, '18, DAL @ PHO",22,7,487,14240,3241,6631,778,1998,1561,1896,227,1549,2449,351,48,850,895,8821,.489,.389,.823,29.2,18.1,3.2,5.0,0.7,0.1,2018
22,Deonte Burton,"Oct 19, '18, OKC @ LAC",25,3,73,602,76,209,18,81,16,26,11,85,26,13,18,28,65,186,.364,.222,.615,8.2,2.5,1.2,0.4,0.2,0.2,2018
23,Jevon Carter,"Dec 15, '18, MEM vs. HOU",23,7,412,6279,781,1980,472,1245,111,139,124,687,651,242,99,240,508,2145,.394,.379,.799,15.2,5.2,1.7,1.6,0.6,0.2,2018
24,Wendell Carter Jr.,"Oct 18, '18, CHI @ PHI",19,7,383,10447,1723,3384,278,880,841,1154,880,3173,765,247,281,583,1108,4565,.509,.316,.729,27.3,11.9,8.3,2.0,0.6,0.7,2018
25,Troy Caupain,"Dec 31, '18, ORL @ CHO",23,1,4,16,4,8,2,3,0,0,1,3,4,1,0,0,0,10,.500,.667,,4.0,2.5,0.8,1.0,0.3,0.0,2018
26,Joe Chealey,"Jan 30, '19, CHO @ BOS",23,2,5,41,1,10,0,4,2,2,0,0,2,4,0,2,3,4,.100,.000,1.000,8.2,0.8,0.0,0.4,0.8,0.0,2018
27,Chris Chiozza,"Mar 24, '19, HOU @ NOP",23,4,91,1038,112,317,59,172,20,25,22,117,217,42,11,81,90,303,.353,.343,.800,11.4,3.3,1.3,2.4,0.5,0.1,2018
28,Gary Clark,"Oct 17, '18, HOU vs. NOP",24,4,170,2240,177,504,139,427,31,37,117,431,84,52,62,44,148,524,.351,.326,.838,13.2,3.1,2.5,0.5,0.3,0.4,2018
29,Bonzie Colson,"Feb 25, '19, MIL @ CHI",23,1,8,98,13,39,5,21,8,9,8,30,3,5,1,3,3,39,.333,.238,.889,12.3,4.9,3.8,0.4,0.6,0.1,2018
30,Mitch Creek,"Jan 25, '19, BRK vs. NYK",26,1,5,48,8,16,0,2,5,7,6,12,6,2,0,1,3,21,.500,.000,.714,9.6,4.2,2.4,1.2,0.4,0.0,2018
31,Tyler Davis,"Nov 28, '18, OKC vs. CLE",21,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,.000,,,1.0,0.0,1.0,0.0,0.0,0.0,2018
32,Ángel Delgado,"Feb 7, '19, LAC @ IND",24,1,2,15,1,5,0,0,1,2,2,4,0,1,0,0,2,3,.200,,.500,7.5,1.5,2.0,0.0,0.5,0.0,2018
33,Marcus Derrickson,"Nov 10, '18, GSW vs. BRK",22,1,11,67,16,33,10,20,4,5,8,13,1,0,1,3,9,46,.485,.500,.800,6.1,4.2,1.2,0.1,0.0,0.1,2018
34,Hamidou Diallo,"Oct 16, '18, OKC @ GSW",20,6,265,4918,908,1834,76,277,380,610,269,1009,283,225,76,280,580,2272,.495,.274,.623,18.6,8.6,3.8,1.1,0.8,0.3,2018
35,Donte DiVincenzo,"Oct 17, '18, MIL @ CHO",22,7,416,10611,1583,3710,917,2415,386,500,378,1783,1199,495,112,596,745,4469,.427,.380,.772,25.5,10.7,4.3,2.9,1.2,0.3,2018
36,Luka Dončić,"Oct 17, '18, DAL @ PHO",19,7,450,15712,4359,9321,1378,3938,2782,3704,427,3881,3700,556,203,1777,1028,12878,.468,.350,.751,34.9,28.6,8.6,8.2,1.2,0.5,2018
