Filename,Score
all_nba_teams_2023_kneighborsclassifier_____k-nearest_neighbors.json,528
all_nba_teams_2023_randomforestclassifier_____gradient_boosting.json,542
all_nba_teams_2023_adaboostclassifier_____adaboost.json,334
all_nba_teams_2023_adaboostclassifier_____svc.json,428
all_nba_teams_2023_logisticregression_____naive_bayes.json,494
all_nba_teams_2023_randomforestclassifier_____naive_bayes.json,524
all_nba_teams_2023_gradientboostingclassifier_____adaboost.json,350
all_nba_teams_2023_logisticregression_____logistic_regression.json,488
all_nba_teams_2023_logisticregression_____adaboost.json,380
all_nba_teams_2023_gradientboostingclassifier_____catboost.json,446
all_nba_teams_2023_adaboostclassifier_____xgboost.json,484
all_nba_teams_2023_gaussiannb_____support_vector_machine.json,428
all_nba_teams_2023_gradientboostingclassifier_____svc.json,412
all_nba_teams_2023_gradientboostingclassifier_____support_vector_machine.json,428
all_nba_teams_2023_kneighborsclassifier_____naive_bayes.json,524
all_nba_teams_2023_gaussiannb_____catboost.json,416
all_nba_teams_2023_randomforestclassifier_____k-nearest_neighbors.json,486
all_nba_teams_2023_adaboostclassifier_____catboost.json,446
all_nba_teams_2023_kneighborsclassifier_____xgboost.json,514
all_nba_teams_2023_kneighborsclassifier_____support_vector_machine.json,428
all_nba_teams_2023_svc_____naive_bayes.json,448
all_nba_teams_2023_gaussiannb_____naive_bayes.json,524
all_nba_teams_2023_kneighborsclassifier_____random_forest.json,514
all_nba_teams_2023_logisticregression_____k-nearest_neighbors.json,486
all_nba_teams_2023_logisticregression_____xgboost.json,538
all_nba_teams_2023_catboostclassifier_____gradient_boosting.json,514
all_nba_teams_2023_randomforestclassifier_____svc.json,448
all_nba_teams_2023_catboostclassifier_____catboost.json,454
all_nba_teams_2023_logisticregression_____support_vector_machine.json,428
all_nba_teams_2023_catboostclassifier_____logistic_regression.json,450
all_nba_teams_2023_gaussiannb_____adaboost.json,350
all_nba_teams_2023_logisticregression_____random_forest.json,478
all_nba_teams_2023_catboostclassifier_____naive_bayes.json,494
all_nba_teams_2023_gradientboostingclassifier_____naive_bayes.json,494
all_nba_teams_2023_catboostclassifier_____k-nearest_neighbors.json,486
all_nba_teams_2023_catboostclassifier_____xgboost.json,554
all_nba_teams_2023_randomforestclassifier_____xgboost.json,498
all_nba_teams_2023_adaboostclassifier_____naive_bayes.json,524
all_nba_teams_2023_gaussiannb_____random_forest.json,484
all_nba_teams_2023_svc_____k-nearest_neighbors.json,486
all_nba_teams_2023_kneighborsclassifier_____gradient_boosting.json,538
all_nba_teams_2023_adaboostclassifier_____k-nearest_neighbors.json,486
all_nba_teams_2023_gaussiannb_____gradient_boosting.json,572
all_nba_teams_2023_gradientboostingclassifier_____xgboost.json,542
all_nba_teams_2023_svc_____gradient_boosting.json,582
all_nba_teams_2023_gaussiannb_____k-nearest_neighbors.json,486
all_nba_teams_2023_logisticregression_____catboost.json,416
all_nba_teams_2023_svc_____support_vector_machine.json,478
all_nba_teams_2023_svc_____catboost.json,416
all_nba_teams_2023_svc_____logistic_regression.json,468
all_nba_teams_2023_gaussiannb_____xgboost.json,494
all_nba_teams_2023_adaboostclassifier_____support_vector_machine.json,428
all_nba_teams_2023_randomforestclassifier_____adaboost.json,320
all_nba_teams_2023_svc_____random_forest.json,514
all_nba_teams_2023_svc_____xgboost.json,484
all_nba_teams_2023_randomforestclassifier_____logistic_regression.json,450
all_nba_teams_2023_svc_____svc.json,448
all_nba_teams_2023_gradientboostingclassifier_____logistic_regression.json,488
all_nba_teams_2023_adaboostclassifier_____logistic_regression.json,450
all_nba_teams_2023_randomforestclassifier_____catboost.json,416
all_nba_teams_2023_catboostclassifier_____random_forest.json,470
all_nba_teams_2023_catboostclassifier_____adaboost.json,456
all_nba_teams_2023_kneighborsclassifier_____catboost.json,416
all_nba_teams_2023_adaboostclassifier_____random_forest.json,504
mateusz.json,604
all_nba_teams_2023_randomforestclassifier_____random_forest.json,484
all_nba_teams_2023_gradientboostingclassifier_____k-nearest_neighbors.json,470
all_nba_teams_2023_gaussiannb_____logistic_regression.json,478
all_nba_teams_2023_logisticregression_____svc.json,428
all_nba_teams_2023_randomforestclassifier_____support_vector_machine.json,428
all_nba_teams_2023_kneighborsclassifier_____logistic_regression.json,450
all_nba_teams_2023_gradientboostingclassifier_____gradient_boosting.json,432
all_nba_teams_2023_kneighborsclassifier_____adaboost.json,372
all_nba_teams_2023_svc_____adaboost.json,390
all_nba_teams_2023_logisticregression_____gradient_boosting.json,542
all_nba_teams_2023_adaboostclassifier_____gradient_boosting.json,568
all_nba_teams_2023_gradientboostingclassifier_____random_forest.json,470
all_nba_teams_2023_catboostclassifier_____support_vector_machine.json,428
