Filename,Score
all_nba_teams_2023_kneighborsclassifier_____k-nearest_neighbors.json,446
all_nba_teams_2023_randomforestclassifier_____gradient_boosting.json,448
all_nba_teams_2023_adaboostclassifier_____adaboost.json,292
all_nba_teams_2023_logisticregression_____naive_bayes.json,352
all_nba_teams_2023_randomforestclassifier_____naive_bayes.json,428
all_nba_teams_2023_gradientboostingclassifier_____adaboost.json,330
all_nba_teams_2023_logisticregression_____logistic_regression.json,404
all_nba_teams_2023_logisticregression_____adaboost.json,290
all_nba_teams_2023_gradientboostingclassifier_____catboost.json,448
all_nba_teams_2023_adaboostclassifier_____xgboost.json,446
all_nba_teams_2023_gaussiannb_____support_vector_machine.json,420
all_nba_teams_2023_gradientboostingclassifier_____support_vector_machine.json,420
all_nba_teams_2023_kneighborsclassifier_____naive_bayes.json,412
all_nba_teams_2023_gaussiannb_____catboost.json,404
all_nba_teams_2023_randomforestclassifier_____k-nearest_neighbors.json,446
all_nba_teams_2023_adaboostclassifier_____catboost.json,476
all_nba_teams_2023_kneighborsclassifier_____xgboost.json,506
all_nba_teams_2023_kneighborsclassifier_____support_vector_machine.json,396
all_nba_teams_2023_svc_____naive_bayes.json,418
all_nba_teams_2023_gaussiannb_____naive_bayes.json,412
all_nba_teams_2023_kneighborsclassifier_____random_forest.json,476
all_nba_teams_2023_logisticregression_____k-nearest_neighbors.json,462
all_nba_teams_2023_logisticregression_____xgboost.json,476
all_nba_teams_2023_catboostclassifier_____gradient_boosting.json,432
all_nba_teams_2023_catboostclassifier_____catboost.json,448
all_nba_teams_2023_logisticregression_____support_vector_machine.json,420
all_nba_teams_2023_catboostclassifier_____logistic_regression.json,404
all_nba_teams_2023_gaussiannb_____adaboost.json,310
all_nba_teams_2023_logisticregression_____random_forest.json,490
all_nba_teams_2023_catboostclassifier_____naive_bayes.json,382
all_nba_teams_2023_gradientboostingclassifier_____naive_bayes.json,368
all_nba_teams_2023_catboostclassifier_____k-nearest_neighbors.json,476
all_nba_teams_2023_catboostclassifier_____xgboost.json,432
all_nba_teams_2023_randomforestclassifier_____xgboost.json,432
all_nba_teams_2023_adaboostclassifier_____naive_bayes.json,412
all_nba_teams_2023_gaussiannb_____random_forest.json,462
all_nba_teams_2023_svc_____k-nearest_neighbors.json,462
all_nba_teams_2023_kneighborsclassifier_____gradient_boosting.json,448
all_nba_teams_2023_adaboostclassifier_____k-nearest_neighbors.json,432
all_nba_teams_2023_gaussiannb_____gradient_boosting.json,448
all_nba_teams_2023_gradientboostingclassifier_____xgboost.json,462
all_nba_teams_2023_svc_____gradient_boosting.json,448
all_nba_teams_2023_gaussiannb_____k-nearest_neighbors.json,432
all_nba_teams_2023_logisticregression_____catboost.json,448
all_nba_teams_2023_svc_____support_vector_machine.json,464
all_nba_teams_2023_svc_____catboost.json,506
all_nba_teams_2023_svc_____logistic_regression.json,420
all_nba_teams_2023_gaussiannb_____xgboost.json,502
all_nba_teams_2023_adaboostclassifier_____support_vector_machine.json,500
all_nba_teams_2023_randomforestclassifier_____adaboost.json,380
all_nba_teams_2023_svc_____random_forest.json,484
all_nba_teams_2023_svc_____xgboost.json,432
all_nba_teams_2023_randomforestclassifier_____logistic_regression.json,404
all_nba_teams_2023_gradientboostingclassifier_____logistic_regression.json,404
all_nba_teams_2023_adaboostclassifier_____logistic_regression.json,420
all_nba_teams_2023_randomforestclassifier_____catboost.json,448
all_nba_teams_2023_catboostclassifier_____random_forest.json,462
all_nba_teams_2023_catboostclassifier_____adaboost.json,332
all_nba_teams_2023_kneighborsclassifier_____catboost.json,460
all_nba_teams_2023_adaboostclassifier_____random_forest.json,462
all_nba_teams_2023_randomforestclassifier_____random_forest.json,462
all_nba_teams_2023_gradientboostingclassifier_____k-nearest_neighbors.json,462
all_nba_teams_2023_gaussiannb_____logistic_regression.json,434
all_nba_teams_2023_randomforestclassifier_____support_vector_machine.json,420
all_nba_teams_2023_kneighborsclassifier_____logistic_regression.json,404
all_nba_teams_2023_gradientboostingclassifier_____gradient_boosting.json,462
all_nba_teams_2023_kneighborsclassifier_____adaboost.json,292
all_nba_teams_2023_svc_____adaboost.json,302
all_nba_teams_2023_logisticregression_____gradient_boosting.json,418
all_nba_teams_2023_adaboostclassifier_____gradient_boosting.json,432
all_nba_teams_2023_gradientboostingclassifier_____random_forest.json,446
all_nba_teams_2023_catboostclassifier_____support_vector_machine.json,390
